matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickPost,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attOboxOwnGoal,attObxdLeft,attObxdRight,attOpenplay,attPenGoal,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,ballRecovery,blockedCross,blockedScoringAtt,challengeLost,clearanceOffLine,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,outfielderBlock,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,punches,redCard,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,wonContest,wonCorners,wonTackle,yellowCard
284102,11,2009-10-31 15:00:00,30,Bolton,Home,61.0,13.0,2.0,6.0,4.0,11.0,,123.0,10.0,,2.0,16.0,12.0,40.0,178.0,,,11.0,8.0,16.0,8.0,2.0,,,,1.0,,,2.0,,,,,,,,,,,2.0,21.0,12.0,,,30.0,3.0,4.0,14.0,,8.0,13.0,12.0,,7.0,6.0,46.0,49.0,3.0,22.0,7.0,,1.0,87.0,11.0,7.0,,,,,2.0,,,,,,16.0,,1.0,,16.0,,16.0,16.0,1.0,2.0,75.0,43.0,10.0,,6.0,4.0,2.0,,8.0,,34.0,52.0,28.0,1.0,1.0,1.0,,,140.0,124.0,,15.0,7.0,34.6,,,,0.0,8.0,2.0,,,,,9.0,,3.0,76.0,,10.0,73.0,31.0,38.0,10.0,7.0,35.0,28.0,,124.0,22.0,211.0,1.0,,32.0,13.0,66.0,,249.0,,1.0,15.0,22.0,1.0,16.0,1.0,510.0,,4.0,8.0,15.0,0.0
284110,12,2009-11-07 15:00:00,30,Bolton,Away,67.0,9.0,1.0,5.0,4.0,9.0,,119.0,3.0,,4.0,11.0,10.0,15.0,181.0,,,19.0,27.0,21.0,6.0,2.0,,,,,,,,,,,,,,,,1.0,,1.0,16.0,6.0,,,54.0,2.0,3.0,6.0,,1.0,7.0,9.0,,21.0,6.0,77.0,78.0,2.0,33.0,16.0,1.0,1.0,72.0,17.0,16.0,1.0,,,,,,,,,,12.0,,,,20.0,1.0,19.0,19.0,2.0,4.0,71.0,25.0,8.0,,3.0,5.0,6.0,,2.0,,40.0,28.0,39.0,,1.0,1.0,1.0,,170.0,161.0,2.0,19.0,24.0,43.4,1.0,,,0.0,5.0,2.0,,,2.0,,5.0,1.0,2.0,69.0,,8.0,88.0,20.0,42.0,10.0,1.0,18.0,17.0,,132.0,20.0,213.0,,,37.0,11.0,44.0,1.0,283.0,,0.0,14.0,37.0,1.0,28.0,4.0,574.0,,4.0,1.0,27.0,0.0
284121,13,2009-11-22 13:30:00,30,Bolton,Home,45.0,7.0,1.0,6.0,5.0,7.0,1.0,123.0,3.0,,3.0,8.0,9.0,15.0,162.0,1.0,1.0,18.0,26.0,29.0,12.0,2.0,,3.0,,,,,1.0,,,1.0,,,15.0,,,,,1.0,14.0,4.0,,,56.0,5.0,8.0,7.0,3.0,7.0,12.0,9.0,,11.0,2.0,67.0,79.0,5.0,19.0,14.0,,,67.0,15.0,12.0,,,4.0,3.0,1.0,,,,,,7.0,,1.0,2.0,31.0,1.0,22.0,21.0,,3.0,77.0,45.0,7.0,,8.0,6.0,2.0,,9.0,1.0,43.0,43.0,33.0,,,,,,195.0,168.0,3.0,29.0,16.0,41.5,,,,0.0,5.0,,,,,3.0,9.0,,3.0,71.0,,14.0,66.0,21.0,46.0,15.0,6.0,30.0,24.0,3.0,127.0,28.0,223.0,1.0,1.0,26.0,10.0,36.0,,259.0,1.0,0.0,19.0,33.0,4.0,40.0,3.0,527.0,,5.0,7.0,22.0,0.0
284134,14,2009-11-28 15:00:00,30,Bolton,Away,99.0,17.0,,4.0,4.0,7.0,,109.0,8.0,1.0,1.0,5.0,14.0,33.0,204.0,,,18.0,18.0,32.0,1.0,1.0,,,,,,,1.0,,,,,,,,,,,2.0,8.0,10.0,,,62.0,2.0,2.0,2.0,2.0,5.0,8.0,6.0,,7.0,2.0,56.0,60.0,2.0,31.0,14.0,,,78.0,20.0,6.0,1.0,,,,1.0,1.0,,1.0,1.0,,9.0,,3.0,1.0,30.0,,18.0,18.0,1.0,1.0,97.0,40.0,8.0,,2.0,1.0,1.0,,9.0,,44.0,63.0,25.0,,,,,,191.0,169.0,1.0,16.0,32.0,36.4,,,1.0,0.0,3.0,1.0,,,1.0,,2.0,,2.0,51.0,,3.0,126.0,38.0,53.0,16.0,4.0,21.0,17.0,,109.0,21.0,219.0,3.0,1.0,32.0,14.0,76.0,4.0,324.0,,0.0,5.0,16.0,1.0,28.0,6.0,609.0,,6.0,5.0,8.0,0.0
284149,15,2009-12-05 15:00:00,30,Bolton,Away,87.0,14.0,6.0,11.0,5.0,11.0,,150.0,3.0,1.0,3.0,7.0,15.0,29.0,226.0,,,26.0,16.0,20.0,12.0,4.0,,,,,,1.0,2.0,,,,,,,,,,,1.0,7.0,5.0,,,29.0,7.0,5.0,2.0,1.0,10.0,12.0,6.0,,6.0,1.0,51.0,50.0,7.0,26.0,16.0,,1.0,88.0,16.0,10.0,1.0,,,,2.0,1.0,,,1.0,,11.0,,3.0,1.0,23.0,,10.0,10.0,1.0,4.0,94.0,40.0,11.0,,8.0,9.0,8.0,,6.0,,56.0,48.0,28.0,,,,,,173.0,155.0,1.0,11.0,2.0,54.6,,,2.0,0.0,2.0,1.0,,,1.0,,8.0,,1.0,87.0,,17.0,104.0,31.0,44.0,21.0,9.0,28.0,19.0,,145.0,21.0,249.0,3.0,1.0,36.0,16.0,63.0,3.0,325.0,,0.0,21.0,11.0,,35.0,1.0,578.0,,9.0,10.0,8.0,0.0
284151,16,2009-12-12 15:00:00,30,Bolton,Home,53.0,9.0,1.0,4.0,3.0,6.0,,98.0,3.0,,1.0,24.0,5.0,38.0,147.0,,,19.0,13.0,24.0,5.0,,,1.0,,,,,1.0,,,,,,,,,,,1.0,6.0,10.0,,,32.0,3.0,4.0,3.0,,5.0,7.0,2.0,1.0,5.0,3.0,41.0,66.0,3.0,28.0,15.0,1.0,,86.0,13.0,10.0,2.0,,,,1.0,1.0,1.0,1.0,,1.0,8.0,,,1.0,40.0,,24.0,24.0,3.0,1.0,76.0,35.0,9.0,,4.0,2.0,3.0,,2.0,,33.0,42.0,25.0,,,,,,180.0,145.0,3.0,13.0,5.0,35.6,,,,0.0,1.0,2.0,,,,1.0,6.0,1.0,2.0,71.0,,6.0,72.0,26.0,63.0,11.0,4.0,14.0,10.0,,144.0,20.0,198.0,,,41.0,6.0,66.0,2.0,256.0,,0.0,13.0,29.0,1.0,25.0,3.0,528.0,,3.0,5.0,18.0,0.0
284161,17,2009-12-15 20:00:00,30,Bolton,Home,97.0,14.0,4.0,9.0,5.0,6.0,,158.0,4.0,1.0,1.0,15.0,13.0,32.0,246.0,,1.0,17.0,15.0,29.0,13.0,5.0,,1.0,,1.0,,,2.0,,,,,,,,,,,2.0,5.0,8.0,,,68.0,,9.0,5.0,,8.0,11.0,3.0,1.0,6.0,1.0,42.0,62.0,,14.0,9.0,,,110.0,10.0,10.0,1.0,1.0,,,2.0,2.0,1.0,2.0,1.0,1.0,7.0,,,,23.0,,28.0,27.0,1.0,1.0,95.0,42.0,4.0,1.0,10.0,10.0,7.0,,4.0,,44.0,51.0,31.0,,,,,,184.0,164.0,1.0,23.0,32.0,44.5,,,,0.0,2.0,2.0,,,,1.0,12.0,1.0,2.0,80.0,,20.0,105.0,36.0,34.0,10.0,7.0,25.0,18.0,,167.0,18.0,286.0,,1.0,37.0,13.0,71.0,2.0,366.0,,0.0,28.0,19.0,4.0,27.0,4.0,650.0,,4.0,8.0,16.0,0.0
284178,18,2010-02-17 20:00:00,30,Bolton,Away,76.0,8.0,,4.0,4.0,9.0,,117.0,4.0,,,10.0,12.0,15.0,189.0,,2.0,27.0,20.0,16.0,8.0,,,,,,,,,,,,,,,,,,,2.0,5.0,5.0,,,61.0,5.0,1.0,11.0,,9.0,14.0,4.0,,13.0,,61.0,67.0,5.0,22.0,7.0,,,73.0,9.0,6.0,,,,,,,,,,,9.0,,1.0,,15.0,,12.0,12.0,,1.0,104.0,39.0,4.0,,6.0,2.0,1.0,,2.0,,40.0,58.0,22.0,,,,,,210.0,194.0,2.0,26.0,20.0,48.3,,,1.0,0.0,,1.0,,,,,8.0,,3.0,56.0,,8.0,106.0,29.0,38.0,12.0,8.0,27.0,19.0,,120.0,23.0,245.0,1.0,,36.0,15.0,46.0,1.0,324.0,,0.0,10.0,40.0,3.0,35.0,1.0,611.0,,4.0,9.0,26.0,0.0
284182,19,2009-12-26 14:00:00,30,Bolton,Away,65.0,8.0,,2.0,2.0,10.0,,115.0,9.0,,,13.0,5.0,33.0,178.0,,1.0,19.0,20.0,27.0,7.0,1.0,1.0,,1.0,1.0,,,2.0,,,,,,7.0,,,1.0,,1.0,11.0,7.0,4.0,7.0,38.0,3.0,1.0,16.0,,2.0,6.0,3.0,,12.0,3.0,66.0,60.0,3.0,31.0,16.0,,1.0,82.0,19.0,10.0,,1.0,3.0,1.0,2.0,,,,,,16.0,,,5.0,29.0,1.0,21.0,20.0,2.0,,113.0,53.0,8.0,1.0,5.0,3.0,4.0,279.0,4.0,,39.0,49.0,34.0,,,,,,193.0,174.0,,14.0,6.0,40.4,1.0,2.0,,0.0,2.0,1.0,3.0,,1.0,,6.0,,2.0,53.0,163.0,8.0,96.0,26.0,50.0,11.0,1.0,11.0,10.0,,113.0,26.0,229.0,,,44.0,8.0,82.0,3.0,314.0,,0.0,11.0,16.0,2.0,28.0,0.0,532.0,19.0,7.0,2.0,10.0,0.0
284192,20,2009-12-29 20:00:00,30,Bolton,Home,60.0,11.0,3.0,4.0,1.0,5.0,,129.0,4.0,,3.0,9.0,17.0,23.0,185.0,,,21.0,17.0,20.0,6.0,3.0,,,,1.0,,,1.0,,,,,,,,,,,3.0,9.0,5.0,,,43.0,3.0,4.0,7.0,,8.0,10.0,2.0,,13.0,1.0,57.0,59.0,3.0,22.0,13.0,,,77.0,17.0,19.0,2.0,,,,1.0,1.0,1.0,1.0,,1.0,11.0,,1.0,,27.0,,12.0,12.0,1.0,3.0,96.0,43.0,8.0,,6.0,4.0,5.0,,4.0,,57.0,33.0,23.0,,,,,,174.0,154.0,1.0,18.0,15.0,46.0,,,1.0,0.0,2.0,1.0,,,1.0,,10.0,,1.0,67.0,,10.0,82.0,29.0,42.0,4.0,6.0,20.0,14.0,,127.0,14.0,231.0,1.0,,32.0,19.0,55.0,2.0,293.0,,0.0,19.0,19.0,3.0,26.0,1.0,548.0,,1.0,8.0,15.0,0.0
284207,21,2010-03-09 19:45:00,30,Bolton,Away,90.0,24.0,2.0,5.0,3.0,4.0,,169.0,,,2.0,5.0,13.0,22.0,254.0,,,22.0,25.0,21.0,9.0,1.0,,,,1.0,,,1.0,,,,,,,,,,,1.0,10.0,3.0,,,50.0,1.0,3.0,6.0,,7.0,16.0,6.0,,25.0,2.0,80.0,71.0,1.0,15.0,8.0,,,77.0,11.0,14.0,,1.0,,,1.0,,,,,,4.0,,1.0,,17.0,,33.0,33.0,6.0,3.0,93.0,46.0,2.0,,7.0,3.0,1.0,,,,72.0,65.0,43.0,1.0,1.0,1.0,,,207.0,194.0,,21.0,22.0,49.1,,,,0.0,2.0,2.0,,1.0,,,8.0,,3.0,91.0,,10.0,110.0,50.0,28.0,21.0,7.0,30.0,23.0,,153.0,13.0,284.0,1.0,,26.0,15.0,53.0,1.0,364.0,,1.0,12.0,28.0,1.0,36.0,1.0,664.0,,8.0,7.0,22.0,0.0
284212,22,2010-01-17 16:00:00,30,Bolton,Home,96.0,10.0,,2.0,2.0,3.0,,130.0,3.0,,2.0,8.0,14.0,20.0,224.0,,2.0,9.0,25.0,21.0,11.0,,,,,,,,1.0,,,,,,,,,,,1.0,7.0,8.0,,,70.0,1.0,5.0,11.0,,2.0,8.0,6.0,,17.0,1.0,69.0,61.0,1.0,20.0,10.0,,,100.0,13.0,6.0,,,,,1.0,,,,,,7.0,,,,14.0,,32.0,32.0,3.0,2.0,109.0,40.0,4.0,,5.0,6.0,4.0,,4.0,,33.0,73.0,36.0,,,,,,214.0,207.0,4.0,23.0,31.0,41.1,,,,0.0,1.0,2.0,,,,,7.0,,3.0,75.0,,11.0,119.0,28.0,27.0,8.0,2.0,16.0,14.0,,161.0,12.0,271.0,,,48.0,19.0,71.0,3.0,374.0,1.0,0.0,16.0,29.0,7.0,25.0,1.0,663.0,,5.0,2.0,22.0,0.0
284220,23,2010-01-26 20:00:00,30,Bolton,Home,49.0,7.0,2.0,9.0,7.0,10.0,,133.0,5.0,1.0,,14.0,8.0,25.0,173.0,1.0,3.0,25.0,16.0,24.0,10.0,3.0,1.0,,,,,,,,,,,,13.0,,,,,,6.0,5.0,9.0,9.0,46.0,6.0,7.0,6.0,,4.0,8.0,6.0,,11.0,1.0,56.0,57.0,6.0,32.0,16.0,,,85.0,12.0,10.0,,1.0,,3.0,,1.0,,1.0,1.0,,10.0,1.0,2.0,,33.0,,20.0,19.0,,,101.0,52.0,7.0,1.0,5.0,9.0,3.0,264.0,4.0,,37.0,73.0,47.0,,,,,,194.0,172.0,4.0,16.0,18.0,42.4,,,,0.0,1.0,,1.0,,,,8.0,,3.0,64.0,163.0,14.0,65.0,19.0,54.0,16.0,4.0,21.0,17.0,,127.0,28.0,242.0,2.0,1.0,36.0,11.0,54.0,3.0,286.0,1.0,0.0,18.0,18.0,9.0,46.0,3.0,541.0,30.0,5.0,4.0,10.0,0.0
