playerId,playerName,position,team_name,team_id,nationality,season,penaltiesSaved,totalRedCards,catches,savesMadeFromOutsideBox,unsuccessfulShortPasses,gamesPlayed,goalAssists,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,goalKicks,savesMadeCaught,cleanSheets,penaltiesFaced,timePlayed,duelsWon,goalsConcededOutsideBox,groundDuelsWon,successfulShortPasses,savesFromPenalty,punches,penaltyGoalsConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,rightsidePasses,savesMade,totalFoulsWon,winningGoal,duels,goalkeeperSmother,forwardPasses,recoveries,appearances,drops,crossesNotClaimed,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,straightRedCards,gkSuccessfulDistribution,openPlayPasses,cornersWon,totalLossesOfPossession,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,successfulLongPasses,touches,unsuccessfulLaunches,successfulPassesOwnHalf,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,duelsLost,successfulCrossesOpenPlay,blockedShots,shotsOnTargetIncGoals,overruns,totalTackles,totalShots,throughBalls,successfulLayoffs,foulWonPenalty,unsuccessfulCrossesOpenPlay,goals,offsides,awayGoals,substituteOn,cornersTakenInclShortCorners,aerialDuels,successfulCrossesAndCorners,unsuccessfulLayoffs,aerialDuelsLost,totalTouchesInOppositionBox,throwInsToOppositionPlayer,groundDuelsLost,homeGoals,rightFootGoals,leftFootGoals,unsuccessfulDribbles,headedGoals,unsuccessfulCrossesAndCorners,timesTackled,aerialDuelsWon,shotsOffTargetIncWoodwork,tacklesWon,successfulDribbles,attemptsFromSetPieces,totalFoulsConceded,interceptions,unsuccessfulCornersIntoBox,backwardPasses,throwInsToOwnPlayer,substituteOff,hitWoodwork,penaltiesConceded,tacklesLost,blocks,clearancesOffTheLine,handballsConceded,lastPlayerTackle,redCards2ndYellow,otherGoals,penaltiesTaken,penaltyGoals,successfulCornersIntoBox,setPiecesGoals
3630,Kevin Davies,Forward,Bolton,30,England,2010-11,,0.0,,,713.0,38.0,5.0,38.0,734.0,1661.0,,,3.0,,3385.0,388.0,8.0,146.0,895.0,,,3.0,87.0,1.0,58.0,56.0,383.0,,75.0,2.0,784.0,,612.0,99.0,38.0,,,782.0,48.0,368.0,0.0,,1660.0,27.0,960.0,,,469.0,32.0,2270.0,2.0,157.0,,10.0,21.0,55.0,396.0,12.0,14.0,17.0,1.0,62.0,46.0,28.0,147.0,2.0,53.0,8.0,11.0,3.0,,,416.0,12.0,33.0,174.0,234.0,3.0,222.0,5.0,5.0,2.0,18.0,1.0,54.0,84.0,242.0,29.0,45.0,9.0,,123.0,32.0,,197.0,4.0,5.0,1.0,1.0,17.0,4.0,1.0,6.0,,,,5.0,4.0,,
75773,Lee Chung-yong,Midfielder,Bolton,30,South Korea,2010-11,,0.0,,,177.0,31.0,6.0,25.0,200.0,617.0,,,1.0,,2196.0,148.0,6.0,122.0,404.0,,,1.0,38.0,3.0,21.0,34.0,77.0,,48.0,2.0,286.0,,236.0,146.0,31.0,,,333.0,28.0,228.0,0.0,,613.0,14.0,384.0,,,209.0,13.0,1106.0,13.0,109.0,,1.0,23.0,36.0,138.0,18.0,5.0,7.0,8.0,59.0,15.0,9.0,20.0,1.0,40.0,3.0,4.0,0.0,6.0,20.0,58.0,25.0,2.0,32.0,68.0,1.0,106.0,3.0,1.0,1.0,32.0,1.0,55.0,73.0,26.0,8.0,48.0,15.0,,19.0,47.0,13.0,95.0,10.0,16.0,,,11.0,1.0,1.0,2.0,,,,,,6.0,
82263,Marcos Alonso,Defender,Bolton,30,Spain,2010-11,,0.0,,,37.0,4.0,,4.0,60.0,145.0,,,1.0,,360.0,37.0,,28.0,80.0,,,,4.0,3.0,21.0,5.0,31.0,,10.0,0.0,58.0,,96.0,30.0,4.0,,,62.0,5.0,42.0,0.0,,135.0,1.0,89.0,,,12.0,5.0,293.0,19.0,27.0,,3.0,23.0,13.0,21.0,4.0,,,,17.0,2.0,1.0,,,5.0,,,,,,16.0,4.0,,7.0,,16.0,14.0,,,,4.0,,5.0,5.0,9.0,2.0,10.0,1.0,,4.0,8.0,,6.0,43.0,,,,7.0,3.0,1.0,,,,,,,,
19930,Mark Davies,Midfielder,Bolton,30,England,2010-11,,1.0,,,64.0,24.0,3.0,9.0,73.0,354.0,,,2.0,,966.0,79.0,1.0,77.0,255.0,,,2.0,5.0,,8.0,13.0,99.0,,19.0,0.0,149.0,,124.0,71.0,24.0,,,179.0,12.0,140.0,0.0,,353.0,4.0,120.0,,,88.0,26.0,545.0,3.0,102.0,,3.0,9.0,15.0,70.0,,5.0,4.0,1.0,34.0,5.0,5.0,10.0,,1.0,1.0,,0.0,15.0,,9.0,,1.0,7.0,5.0,,63.0,1.0,1.0,,12.0,,1.0,33.0,2.0,1.0,22.0,24.0,,19.0,24.0,,43.0,1.0,,,,12.0,6.0,1.0,2.0,,1.0,,,,,
10089,Martin Petrov,Midfielder,Bolton,30,Bulgaria,2010-11,,0.0,,,99.0,28.0,5.0,18.0,117.0,492.0,,,,,1469.0,21.0,4.0,21.0,349.0,,,1.0,33.0,3.0,9.0,23.0,154.0,,4.0,0.0,82.0,,147.0,80.0,28.0,,,289.0,19.0,78.0,0.0,,485.0,24.0,295.0,,,72.0,26.0,872.0,8.0,143.0,,0.0,18.0,34.0,61.0,34.0,19.0,17.0,5.0,11.0,39.0,5.0,40.0,,76.0,3.0,3.0,0.0,10.0,56.0,4.0,57.0,6.0,4.0,43.0,,57.0,3.0,1.0,2.0,10.0,,118.0,34.0,,22.0,9.0,6.0,11.0,9.0,12.0,33.0,119.0,19.0,16.0,,,2.0,1.0,1.0,1.0,,,,,,20.0,
3289,Matthew Taylor,Midfielder,Bolton,30,England,2010-11,,0.0,,,167.0,36.0,3.0,22.0,231.0,630.0,,,1.0,,1924.0,81.0,5.0,63.0,355.0,,,2.0,44.0,10.0,34.0,35.0,166.0,,11.0,2.0,200.0,,250.0,117.0,36.0,,,315.0,30.0,158.0,0.0,,613.0,28.0,477.0,,,86.0,44.0,1194.0,24.0,134.0,,4.0,64.0,29.0,119.0,18.0,19.0,20.0,3.0,44.0,51.0,8.0,38.0,,85.0,2.0,5.0,1.0,14.0,66.0,42.0,50.0,1.0,24.0,69.0,4.0,95.0,1.0,1.0,1.0,11.0,,137.0,43.0,18.0,31.0,35.0,8.0,21.0,33.0,25.0,39.0,128.0,23.0,16.0,3.0,,9.0,5.0,,2.0,,,,,,27.0,
2004,Paul Robinson,Defender,Bolton,30,England,2010-11,,0.0,,,225.0,35.0,,35.0,338.0,1399.0,,,4.0,,3150.0,185.0,8.0,132.0,974.0,,,,13.0,28.0,137.0,52.0,,,27.0,,301.0,,,149.0,35.0,,,590.0,44.0,211.0,0.0,,,6.0,,,,,87.0,2203.0,73.0,482.0,,7.0,113.0,80.0,116.0,10.0,1.0,,,95.0,,1.0,23.0,,28.0,,2.0,,,1.0,90.0,11.0,,37.0,,43.0,79.0,,,,3.0,,28.0,,53.0,,65.0,10.0,,36.0,54.0,,,304.0,,,1.0,30.0,18.0,1.0,2.0,,,,,,1.0,
1307,Ricardo Gardner,Midfielder,Bolton,30,Jamaica,2010-11,,0.0,,,20.0,5.0,1.0,3.0,23.0,126.0,,,,,321.0,21.0,2.0,20.0,100.0,,,,1.0,,5.0,8.0,27.0,,5.0,0.0,35.0,,37.0,19.0,5.0,,,52.0,6.0,32.0,0.0,,126.0,,34.0,,,39.0,3.0,180.0,,51.0,,0.0,3.0,6.0,14.0,,3.0,,,13.0,,,5.0,,,,,,2.0,,3.0,,1.0,2.0,,,12.0,,,,3.0,,,7.0,1.0,,7.0,2.0,,1.0,7.0,,23.0,2.0,1.0,,,6.0,1.0,,,,,,,,,
88731,Rob Lainton,Goalkeeper,Bolton,30,England,2010-11,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1615,Robbie Blake,Midfielder,Bolton,30,England,2010-11,,0.0,,,5.0,8.0,,,6.0,28.0,,,,,43.0,4.0,,4.0,18.0,,,,,,,1.0,2.0,,,0.0,6.0,,11.0,7.0,8.0,,,15.0,1.0,6.0,0.0,,27.0,,10.0,,,12.0,4.0,40.0,,7.0,,0.0,1.0,,2.0,,,1.0,,4.0,1.0,1.0,,,,1.0,,0.0,8.0,1.0,,,,,,,2.0,1.0,1.0,,1.0,,1.0,2.0,,,2.0,,1.0,,1.0,1.0,3.0,1.0,,,,2.0,1.0,,,,,,,,,1.0
80954,Rodrigo,Forward,Bolton,30,Spain,2010-11,,0.0,,,47.0,17.0,1.0,4.0,61.0,169.0,,,,,494.0,39.0,1.0,33.0,101.0,,,,8.0,2.0,3.0,7.0,36.0,,8.0,0.0,86.0,,61.0,36.0,17.0,,,76.0,6.0,69.0,0.0,,169.0,5.0,118.0,,,44.0,7.0,317.0,9.0,39.0,,0.0,14.0,14.0,47.0,5.0,6.0,5.0,2.0,15.0,14.0,4.0,9.0,,16.0,1.0,2.0,0.0,13.0,4.0,17.0,7.0,,11.0,27.0,,36.0,1.0,,1.0,13.0,,18.0,25.0,6.0,9.0,9.0,10.0,,8.0,12.0,2.0,28.0,5.0,4.0,1.0,,6.0,,,,,,,,,2.0,
7712,Sam Ricketts,Defender,Bolton,30,Wales,2010-11,,0.0,,,108.0,17.0,,14.0,155.0,397.0,,,2.0,,1389.0,93.0,2.0,72.0,209.0,,,,7.0,21.0,88.0,19.0,,,20.0,,154.0,,,67.0,17.0,,,145.0,17.0,113.0,0.0,,,4.0,,,,,33.0,844.0,37.0,111.0,,1.0,47.0,46.0,61.0,14.0,,2.0,,43.0,7.0,,,,28.0,,,,3.0,,41.0,14.0,,20.0,,75.0,41.0,,,,6.0,,28.0,,21.0,5.0,35.0,9.0,,16.0,22.0,,,101.0,,,1.0,8.0,8.0,,,,,,,,,
1589,Sean Davis,Midfielder,Bolton,30,England,2010-11,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19948,Stuart Holden,Midfielder,Bolton,30,United States,2010-11,,0.0,,,207.0,26.0,2.0,26.0,232.0,946.0,,,4.0,,2296.0,191.0,4.0,164.0,645.0,,,3.0,33.0,8.0,45.0,33.0,278.0,,32.0,4.0,316.0,,302.0,149.0,26.0,,,435.0,29.0,255.0,0.0,,931.0,11.0,370.0,,,227.0,69.0,1495.0,10.0,315.0,,2.0,25.0,53.0,125.0,12.0,6.0,15.0,,117.0,28.0,6.0,44.0,,24.0,2.0,,1.0,,48.0,61.0,36.0,2.0,34.0,33.0,,91.0,1.0,1.0,1.0,4.0,,58.0,39.0,27.0,13.0,81.0,15.0,5.0,24.0,68.0,27.0,139.0,3.0,6.0,1.0,,36.0,3.0,,2.0,1.0,,,,,20.0,
18621,Tamir Cohen,Midfielder,Bolton,30,Israel,2010-11,,0.0,,,23.0,8.0,,3.0,23.0,97.0,,,,,320.0,17.0,1.0,12.0,68.0,,,,1.0,1.0,7.0,7.0,17.0,,1.0,2.0,43.0,,48.0,17.0,8.0,,,38.0,6.0,32.0,0.0,,97.0,3.0,34.0,,,24.0,6.0,145.0,,36.0,,1.0,,6.0,26.0,,,3.0,,10.0,8.0,,8.0,,1.0,1.0,1.0,0.0,5.0,,11.0,,1.0,6.0,11.0,,20.0,1.0,,,2.0,1.0,1.0,8.0,5.0,5.0,8.0,1.0,,7.0,4.0,,8.0,,1.0,,,2.0,1.0,,,,,,,,,
1587,Zat Knight,Defender,Bolton,30,England,2010-11,,0.0,,,147.0,34.0,,34.0,260.0,827.0,,,4.0,,2998.0,163.0,8.0,85.0,461.0,,,3.0,,43.0,340.0,50.0,199.0,,20.0,0.0,261.0,,397.0,125.0,34.0,,,162.0,42.0,144.0,0.0,,822.0,2.0,282.0,,,138.0,106.0,1437.0,67.0,405.0,,6.0,113.0,52.0,98.0,,3.0,2.0,1.0,58.0,7.0,1.0,7.0,,1.0,1.0,1.0,0.0,,,117.0,,1.0,39.0,20.0,,59.0,1.0,1.0,,,,1.0,3.0,78.0,5.0,41.0,7.0,,33.0,70.0,,93.0,2.0,1.0,,1.0,17.0,29.0,,2.0,5.0,,,,,,
45175,Ádám Bogdán,Goalkeeper,Bolton,30,Hungary,2010-11,,0.0,12.0,5.0,2.0,4.0,,3.0,72.0,166.0,51.0,2.0,,,321.0,3.0,2.0,1.0,5.0,,2.0,,,46.0,2.0,7.0,1.0,13.0,1.0,0.0,4.0,,160.0,55.0,4.0,,1.0,86.0,5.0,1.0,0.0,38.0,74.0,1.0,73.0,23.0,5.0,5.0,89.0,205.0,33.0,8.0,8.0,0.0,70.0,7.0,1.0,,,,,,,,,,,,,,1.0,,3.0,,,1.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
