season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2019-20,8243422,2,14,Liverpool,Away,791,15157,James Milner,james-milner,M,False,,,5.0,25.0,26.0,51.0,2.0,3.0,4.0,,,1.0,4.0,,,,6.0,3.0,,1.0,1.0,1.0,,,,,2.0,,74.0,1.0,,,,,,9.0,,6.7,,,2.0,,1.0,,1.0,,9.0,,31.0,29.0,59.0,4,,70.0,,,,
2019-20,8243422,2,14,Liverpool,Away,10577,81880,Alex Oxlade-Chamberlain,alex-oxlade-chamberlain,M,False,,,4.0,21.0,13.0,34.0,,1.0,5.0,,,1.0,,,,,,6.0,,,,,,,,1.0,1.0,,89.0,,,,,,,7.0,,7.2,,,1.0,,2.0,4.0,2.0,,4.0,,26.0,14.0,38.0,2,,57.0,1.0,1.0,4.0,
2019-20,8243422,2,14,Liverpool,Away,17054,39155,Adam Lallana,adam-lallana,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2019-20,8243422,2,14,Liverpool,Away,22126,41733,Georginio Wijnaldum,georginio-wijnaldum,M,False,,,2.0,19.0,15.0,34.0,2.0,1.0,8.0,,,,1.0,,,,5.0,5.0,,,1.0,,,,,1.0,,,90.0,,,,,,,10.0,,6.7,,,,,4.0,1.0,,,2.0,,22.0,18.0,40.0,0,2.0,55.0,2.0,2.0,,
2019-20,8243422,2,14,Liverpool,Away,42694,56979,Jordan Henderson,jordan-henderson,M,True,,,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,2.0,,,,,,,,,,,,,3.0,1.0,4.0,0,,4.0,,,,
2019-20,8243422,2,14,Liverpool,Away,65953,68312,Xherdan Shaqiri,xherdan-shaqiri,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2019-20,8243422,2,14,Liverpool,Away,143697,92217,Roberto Firmino,roberto-firmino,M,False,,,1.0,11.0,9.0,20.0,2.0,1.0,3.0,,1.0,,1.0,,,3.0,6.0,5.0,,,1.0,,1.0,,,1.0,,,90.0,1.0,,,,,,12.0,,7.1,,,1.0,,1.0,3.0,,,2.0,,18.0,9.0,27.0,2,,48.0,2.0,1.0,3.0,
2019-20,8243422,2,14,Liverpool,Away,159665,118748,Mohamed Salah,mohamed-salah,M,False,,,,8.0,,8.0,3.0,,2.0,,1.0,1.0,,,,2.0,5.0,,,,,,,,,,1.0,,79.0,1.0,,,,,,9.0,,6.4,,,1.0,,,,2.0,,,1.0,13.0,1.0,12.0,3,,21.0,1.0,,,
2019-20,8243422,2,14,Liverpool,Away,217704,110979,Sadio Mané,sadio-mane,M,False,,,,13.0,4.0,17.0,2.0,2.0,7.0,2.0,1.0,,1.0,,,2.0,9.0,8.0,,,1.0,1.0,1.0,,,,5.0,,90.0,2.0,,,,,,21.0,,8.5,,,,,2.0,4.0,1.0,,1.0,,21.0,5.0,25.0,2,2.0,51.0,6.0,3.0,1.0,2.0
2019-20,8243422,2,14,Liverpool,Away,243585,116643,Fabinho,fabinho,M,True,,,,3.0,2.0,5.0,,1.0,1.0,,,,1.0,,,,1.0,1.0,,,,,,,,,,,16.0,,,,,,,3.0,,6.5,,,,,2.0,,,,1.0,,4.0,4.0,8.0,0,,11.0,,,,
2019-20,8243426,3,14,Liverpool,Home,791,15157,James Milner,james-milner,M,True,,,1.0,8.0,5.0,13.0,,,5.0,,,,,,,1.0,1.0,1.0,,,,,,,,1.0,,,21.0,,,,,,,6.0,,6.5,,,,,,,,,3.0,,12.0,6.0,18.0,0,1.0,21.0,,,,1.0
2019-20,8243426,3,14,Liverpool,Home,10577,81880,Alex Oxlade-Chamberlain,alex-oxlade-chamberlain,M,True,,,1.0,,3.0,3.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,13.0,,,,,,,2.0,,6.4,,,,,1.0,,,,1.0,,,4.0,4.0,0,,10.0,,,,
2019-20,8243426,3,14,Liverpool,Home,17054,39155,Adam Lallana,adam-lallana,M,True,,,,,1.0,1.0,2.0,,,,,,2.0,,,,4.0,,,,,,,,,,,,9.0,,,,,,,1.0,,6.0,,,,,,,,,,,,1.0,1.0,0,,2.0,1.0,,,
2019-20,8243426,3,14,Liverpool,Home,22126,41733,Georginio Wijnaldum,georginio-wijnaldum,M,False,,,,45.0,12.0,57.0,1.0,,6.0,,,1.0,,,,2.0,5.0,2.0,,,,,,,,2.0,,,69.0,,,,,,,7.0,,6.6,,,1.0,,,3.0,,,1.0,,46.0,12.0,58.0,2,1.0,70.0,2.0,,1.0,1.0
2019-20,8243426,3,14,Liverpool,Home,42694,56979,Jordan Henderson,jordan-henderson,M,False,,,6.0,36.0,7.0,43.0,,1.0,4.0,,,1.0,1.0,,,,3.0,6.0,,1.0,2.0,,,,,1.0,,,90.0,,,,,,,12.0,,7.1,,,,,3.0,,3.0,,7.0,,46.0,9.0,52.0,1,5.0,68.0,,,,3.0
2019-20,8243426,3,14,Liverpool,Home,65953,68312,Xherdan Shaqiri,xherdan-shaqiri,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2019-20,8243426,3,14,Liverpool,Home,143697,92217,Roberto Firmino,roberto-firmino,M,False,,,,29.0,6.0,35.0,2.0,,5.0,,,5.0,1.0,,,,5.0,4.0,,,,,,,,,,,86.0,1.0,,,,,,18.0,,6.7,,,,,,4.0,,,,,37.0,7.0,44.0,6,2.0,65.0,5.0,,2.0,1.0
2019-20,8243426,3,14,Liverpool,Home,159665,118748,Mohamed Salah,mohamed-salah,M,False,,,,23.0,6.0,29.0,1.0,1.0,4.0,,1.0,1.0,1.0,,,2.0,5.0,6.0,,,,,2.0,,,,1.0,,90.0,2.0,,,,,1.0,15.0,,8.6,,,2.0,,,4.0,,,,1.0,34.0,6.0,40.0,5,1.0,56.0,1.0,1.0,3.0,
2019-20,8243426,3,14,Liverpool,Home,217704,110979,Sadio Mané,sadio-mane,M,False,,,1.0,32.0,1.0,33.0,2.0,1.0,3.0,,1.0,,,,,4.0,7.0,9.0,,,1.0,,,,,1.0,4.0,,77.0,1.0,,,,,,9.0,,7.5,,,2.0,,,,,,2.0,,35.0,1.0,36.0,3,6.0,58.0,2.0,2.0,,4.0
2019-20,8243426,3,14,Liverpool,Home,243585,116643,Fabinho,fabinho,M,False,1.0,,9.0,52.0,14.0,65.0,,,6.0,1.0,,,1.0,,,,2.0,4.0,,,1.0,1.0,,,,,4.0,,90.0,,,,,,,6.0,,7.8,,,,,,1.0,1.0,,10.0,,57.0,14.0,70.0,0,2.0,77.0,1.0,1.0,1.0,2.0
2019-20,8243434,4,14,Liverpool,Away,791,15157,James Milner,james-milner,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2019-20,8243434,4,14,Liverpool,Away,10577,81880,Alex Oxlade-Chamberlain,alex-oxlade-chamberlain,M,True,,,1.0,11.0,8.0,19.0,,,3.0,,,,,,,,,2.0,,,,,,,,,,,19.0,1.0,,,,,,3.0,,7.0,,,,,,1.0,,,2.0,,12.0,9.0,21.0,1,1.0,26.0,1.0,,1.0,
2019-20,8243434,4,14,Liverpool,Away,17054,39155,Adam Lallana,adam-lallana,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2019-20,8243434,4,14,Liverpool,Away,22126,41733,Georginio Wijnaldum,georginio-wijnaldum,M,False,,,1.0,22.0,17.0,39.0,,,6.0,,1.0,,,,,,1.0,3.0,,,,,,,,,1.0,,90.0,1.0,,,,,,8.0,,6.7,,,,,,2.0,,,1.0,,29.0,17.0,46.0,1,1.0,53.0,,1.0,1.0,
2019-20,8243434,4,14,Liverpool,Away,42694,56979,Jordan Henderson,jordan-henderson,M,False,1.0,,4.0,20.0,4.0,23.0,,,5.0,1.0,,,1.0,,,,3.0,2.0,,,2.0,,,,,,2.0,,71.0,,,,,,,13.0,,7.0,,,,,1.0,,5.0,,6.0,,32.0,5.0,32.0,0,1.0,44.0,,1.0,,1.0
2019-20,8243434,4,14,Liverpool,Away,65953,68312,Xherdan Shaqiri,xherdan-shaqiri,M,True,,,,1.0,1.0,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,9.0,,,,,,,1.0,,6.4,,,,,,,,,,,2.0,1.0,3.0,1,,4.0,,,,
2019-20,8243434,4,14,Liverpool,Away,143697,92217,Roberto Firmino,roberto-firmino,M,False,,,1.0,15.0,7.0,22.0,2.0,4.0,5.0,1.0,,3.0,,,,1.0,9.0,9.0,,,3.0,1.0,1.0,,,,2.0,,85.0,2.0,,,,,,19.0,,8.5,,,,,1.0,6.0,,,2.0,,23.0,9.0,32.0,5,1.0,55.0,4.0,1.0,3.0,1.0
2019-20,8243434,4,14,Liverpool,Away,159665,118748,Mohamed Salah,mohamed-salah,M,False,1.0,,,19.0,5.0,23.0,1.0,1.0,5.0,1.0,1.0,1.0,,,,2.0,8.0,2.0,,,2.0,1.0,,,1.0,,4.0,,90.0,2.0,,,,,,16.0,,7.0,,,,,,4.0,2.0,,,1.0,26.0,6.0,30.0,3,,45.0,3.0,,1.0,
2019-20,8243434,4,14,Liverpool,Away,217704,110979,Sadio Mané,sadio-mane,M,False,,,2.0,19.0,4.0,23.0,7.0,,3.0,,,1.0,1.0,,,3.0,12.0,4.0,,1.0,,,1.0,,,3.0,1.0,,85.0,1.0,,,,,,11.0,,7.1,,,,,,3.0,,,2.0,,24.0,5.0,29.0,2,1.0,44.0,,1.0,2.0,
2019-20,8243434,4,14,Liverpool,Away,243585,116643,Fabinho,fabinho,M,False,,,5.0,20.0,36.0,56.0,5.0,2.0,4.0,,,,,,,,8.0,6.0,,,3.0,,,,,2.0,1.0,,90.0,,,,,,,13.0,,7.0,,,1.0,,,,,,10.0,,27.0,40.0,67.0,1,3.0,76.0,1.0,1.0,,1.0
2019-20,8243442,5,14,Liverpool,Home,791,15157,James Milner,james-milner,M,True,,,2.0,11.0,15.0,26.0,1.0,,,,,,1.0,,,,2.0,,,,,,,,,,,,15.0,,,,,,,1.0,,6.5,,,,,,,,,2.0,,11.0,15.0,26.0,0,,29.0,1.0,,,
2019-20,8243442,5,14,Liverpool,Home,10577,81880,Alex Oxlade-Chamberlain,alex-oxlade-chamberlain,M,False,1.0,,5.0,45.0,9.0,53.0,1.0,,5.0,,,1.0,2.0,,,,5.0,3.0,,,1.0,,,,,,1.0,,75.0,,1.0,,,,,10.0,,6.9,,,1.0,,,3.0,3.0,,5.0,1.0,49.0,10.0,56.0,2,1.0,70.0,3.0,,2.0,1.0
2019-20,8243442,5,14,Liverpool,Home,17054,39155,Adam Lallana,adam-lallana,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2019-20,8243442,5,14,Liverpool,Home,22126,41733,Georginio Wijnaldum,georginio-wijnaldum,M,False,,,2.0,55.0,20.0,75.0,1.0,2.0,8.0,,,,,,,1.0,2.0,4.0,,,,,,,,,,,84.0,1.0,,,,,,8.0,,7.0,,,1.0,,1.0,,,,3.0,,57.0,22.0,79.0,2,2.0,94.0,3.0,,,2.0
2019-20,8243442,5,14,Liverpool,Home,42694,56979,Jordan Henderson,jordan-henderson,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2019-20,8243442,5,14,Liverpool,Home,65953,68312,Xherdan Shaqiri,xherdan-shaqiri,M,True,,,1.0,10.0,3.0,13.0,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,1.0,,6.6,,,,,,,,,1.0,,10.0,3.0,13.0,0,,14.0,,,,
2019-20,8243442,5,14,Liverpool,Home,143697,92217,Roberto Firmino,roberto-firmino,M,True,,,,15.0,4.0,19.0,,2.0,3.0,3.0,,,1.0,,,3.0,5.0,4.0,,,,1.0,,,,,4.0,,53.0,1.0,,,,,,13.0,,8.2,,,1.0,,,2.0,,,,1.0,23.0,4.0,27.0,2,1.0,38.0,1.0,,1.0,1.0
2019-20,8243442,5,14,Liverpool,Home,159665,118748,Mohamed Salah,mohamed-salah,M,False,3.0,,1.0,41.0,1.0,39.0,,,2.0,1.0,,2.0,,,,2.0,4.0,5.0,,,1.0,,1.0,,,,2.0,,90.0,1.0,,,,,,20.0,,8.0,,,,,,4.0,4.0,,3.0,,52.0,1.0,49.0,3,2.0,72.0,5.0,,3.0,2.0
2019-20,8243442,5,14,Liverpool,Home,217704,110979,Sadio Mané,sadio-mane,M,False,,,1.0,28.0,6.0,34.0,1.0,1.0,4.0,,,,,,,4.0,9.0,3.0,,,2.0,,2.0,,,1.0,2.0,,90.0,2.0,,,,,,20.0,,8.4,,,2.0,,,3.0,2.0,,2.0,,39.0,6.0,43.0,4,,63.0,3.0,1.0,1.0,
2019-20,8243442,5,14,Liverpool,Home,243585,116643,Fabinho,fabinho,M,False,,,5.0,57.0,21.0,78.0,4.0,,10.0,,,,4.0,,,,8.0,,,,,,,,,1.0,1.0,,90.0,,,,,,,8.0,,6.6,,,,,,,,,6.0,,61.0,24.0,85.0,0,,90.0,,,,
2019-20,8243448,6,14,Liverpool,Away,791,15157,James Milner,james-milner,M,True,,,,5.0,1.0,6.0,,,,,,,,,,,2.0,1.0,,,2.0,,,,,,,,19.0,,,,,,,,,6.5,,,,,1.0,,,,,,5.0,1.0,6.0,0,1.0,9.0,,,,
2019-20,8243448,6,14,Liverpool,Away,10577,81880,Alex Oxlade-Chamberlain,alex-oxlade-chamberlain,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2019-20,8243448,6,14,Liverpool,Away,17054,39155,Adam Lallana,adam-lallana,M,True,,,,1.0,,1.0,2.0,1.0,,,,,2.0,,,,4.0,2.0,,,,,,,,,,,11.0,,,,,,,4.0,,6.3,,,,,,,,,,,3.0,1.0,4.0,0,1.0,6.0,1.0,,,1.0
2019-20,8243448,6,14,Liverpool,Away,22126,41733,Georginio Wijnaldum,georginio-wijnaldum,M,False,,,1.0,16.0,7.0,23.0,2.0,1.0,6.0,,,,,,,2.0,5.0,3.0,,,1.0,,,,,,,,90.0,,,,,,,7.0,,6.3,,,1.0,,1.0,,,,1.0,,18.0,9.0,27.0,1,,35.0,1.0,2.0,,
2019-20,8243448,6,14,Liverpool,Away,42694,56979,Jordan Henderson,jordan-henderson,M,False,,,3.0,16.0,9.0,25.0,,,6.0,,,,,,,1.0,2.0,3.0,,,1.0,,,,,2.0,,,84.0,,1.0,,,,,19.0,,6.8,,,,,1.0,,,,8.0,,30.0,12.0,42.0,0,2.0,56.0,1.0,1.0,,
2019-20,8243448,6,14,Liverpool,Away,65953,68312,Xherdan Shaqiri,xherdan-shaqiri,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2019-20,8243448,6,14,Liverpool,Away,143697,92217,Roberto Firmino,roberto-firmino,M,False,,,2.0,16.0,4.0,20.0,4.0,1.0,2.0,,1.0,,1.0,,,1.0,8.0,3.0,,,2.0,,1.0,,,,1.0,,90.0,2.0,1.0,,,,,11.0,,7.2,,,,,1.0,1.0,,,2.0,,22.0,4.0,26.0,2,,40.0,4.0,1.0,1.0,
2019-20,8243448,6,14,Liverpool,Away,159665,118748,Mohamed Salah,mohamed-salah,M,False,,,,19.0,7.0,26.0,2.0,1.0,7.0,,,1.0,1.0,,,5.0,11.0,1.0,,,2.0,1.0,,,,,1.0,,89.0,,,,,,,26.0,,6.3,,,,,,1.0,,,2.0,,30.0,7.0,37.0,1,,55.0,6.0,,,
2019-20,8243448,6,14,Liverpool,Away,217704,110979,Sadio Mané,sadio-mane,M,False,,,,16.0,4.0,20.0,3.0,,3.0,,,,,,,2.0,5.0,6.0,,,,,,,,2.0,,,71.0,,,,,,,11.0,,7.0,,,1.0,,,3.0,,,,,21.0,6.0,27.0,1,2.0,44.0,1.0,1.0,3.0,1.0
2019-20,8243448,6,14,Liverpool,Away,243585,116643,Fabinho,fabinho,M,False,1.0,,8.0,21.0,21.0,41.0,2.0,2.0,7.0,,,,2.0,,,,6.0,4.0,,,2.0,,,,,,1.0,,90.0,,1.0,,,,,7.0,,6.9,,,,,2.0,2.0,2.0,,10.0,,25.0,23.0,46.0,0,,57.0,,,2.0,
2019-20,8243470,7,14,Liverpool,Away,791,15157,James Milner,james-milner,M,True,,,,2.0,,2.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,8.0,,,,,,,2.0,,6.4,,,,,,,,,1.0,,2.0,1.0,3.0,0,,6.0,1.0,,,
2019-20,8243470,7,14,Liverpool,Away,10577,81880,Alex Oxlade-Chamberlain,alex-oxlade-chamberlain,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,0,,1.0,,,,
2019-20,8243470,7,14,Liverpool,Away,17054,39155,Adam Lallana,adam-lallana,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2019-20,8243470,7,14,Liverpool,Away,22126,41733,Georginio Wijnaldum,georginio-wijnaldum,M,False,,,,34.0,15.0,49.0,1.0,1.0,3.0,,,1.0,,,,1.0,4.0,4.0,,,,,1.0,,,,,,90.0,1.0,,,,,,5.0,,7.2,,,2.0,,,2.0,,,1.0,,35.0,15.0,50.0,4,1.0,63.0,1.0,2.0,,
2019-20,8243470,7,14,Liverpool,Away,42694,56979,Jordan Henderson,jordan-henderson,M,False,1.0,,1.0,30.0,14.0,43.0,1.0,,2.0,,,,,,,1.0,2.0,1.0,,,,,,,,,,,64.0,,,,,,,10.0,,6.8,,,,,2.0,,4.0,,3.0,,37.0,14.0,47.0,0,1.0,62.0,1.0,,,1.0
2019-20,8243470,7,14,Liverpool,Away,143697,92217,Roberto Firmino,roberto-firmino,M,False,,,,19.0,8.0,27.0,5.0,2.0,5.0,1.0,,,1.0,,,,9.0,6.0,,,1.0,,,,,,1.0,,87.0,,,,,,,10.0,,6.9,,,,,,4.0,,,1.0,,25.0,8.0,33.0,0,,46.0,2.0,2.0,2.0,
2019-20,8243470,7,14,Liverpool,Away,159665,118748,Mohamed Salah,mohamed-salah,M,False,,,,13.0,5.0,18.0,,,2.0,,1.0,1.0,,,,2.0,3.0,2.0,,,,,,,,,1.0,,90.0,2.0,,,,,,17.0,,6.7,,,1.0,,,2.0,2.0,,,,22.0,5.0,25.0,4,,41.0,5.0,1.0,1.0,
2019-20,8243470,7,14,Liverpool,Away,217704,110979,Sadio Mané,sadio-mane,M,False,,,3.0,17.0,7.0,24.0,3.0,1.0,3.0,,2.0,,2.0,,,1.0,8.0,4.0,,,2.0,,,,1.0,,,,89.0,1.0,,,,,,14.0,,6.4,,,3.0,,1.0,1.0,2.0,,3.0,,28.0,7.0,33.0,4,,54.0,1.0,2.0,1.0,
2019-20,8243470,7,14,Liverpool,Away,243585,116643,Fabinho,fabinho,M,False,,,8.0,42.0,26.0,68.0,2.0,2.0,10.0,,,1.0,2.0,,,,4.0,7.0,,,,,,,,2.0,1.0,,90.0,,,,,,,9.0,,7.5,,,,,,,,,10.0,,46.0,30.0,76.0,1,4.0,86.0,1.0,1.0,,4.0
2019-20,8243473,8,14,Liverpool,Home,791,15157,James Milner,james-milner,M,False,,,8.0,31.0,17.0,48.0,,,7.0,1.0,1.0,,5.0,,,2.0,7.0,3.0,,,,1.0,1.0,,,1.0,2.0,,90.0,1.0,,,,,,9.0,,7.6,,,2.0,,1.0,,,,10.0,1.0,34.0,21.0,55.0,3,2.0,71.0,,1.0,,
2019-20,8243473,8,14,Liverpool,Home,17054,39155,Adam Lallana,adam-lallana,M,True,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,1.0,0,,1.0,,,,
2019-20,8243473,8,14,Liverpool,Home,22126,41733,Georginio Wijnaldum,georginio-wijnaldum,M,False,,,2.0,12.0,11.0,23.0,4.0,,5.0,,,,,,,,6.0,3.0,,,1.0,,,,,,,,78.0,1.0,,,,,,8.0,,6.6,,,,,,3.0,,,2.0,,15.0,12.0,27.0,1,1.0,42.0,2.0,1.0,1.0,
2019-20,8243473,8,14,Liverpool,Home,42694,56979,Jordan Henderson,jordan-henderson,M,True,,,1.0,3.0,2.0,5.0,,,,,,,,,,,,1.0,,,,,,,,,,,12.0,,,,,,,1.0,,6.6,,,,,,,,,1.0,,4.0,2.0,6.0,0,1.0,8.0,,,,1.0
2019-20,8243473,8,14,Liverpool,Home,143697,92217,Roberto Firmino,roberto-firmino,M,False,,,,17.0,6.0,23.0,1.0,,3.0,1.0,1.0,1.0,1.0,,,2.0,5.0,4.0,,,,,,,,,2.0,,78.0,,,,,,,12.0,,7.0,,,2.0,,,5.0,,,,,24.0,6.0,30.0,3,,46.0,1.0,,4.0,
2019-20,8243473,8,14,Liverpool,Home,159665,118748,Mohamed Salah,mohamed-salah,M,False,,,,18.0,3.0,21.0,2.0,,1.0,,1.0,3.0,,,,2.0,4.0,8.0,,,,,,,,1.0,3.0,,89.0,2.0,,,,,,13.0,,7.2,,,,,,3.0,1.0,,,2.0,26.0,3.0,28.0,5,1.0,50.0,3.0,4.0,3.0,
2019-20,8243473,8,14,Liverpool,Home,217704,110979,Sadio Mané,sadio-mane,M,False,,,,22.0,7.0,29.0,4.0,1.0,6.0,,1.0,,1.0,,,,9.0,8.0,,,3.0,,1.0,,,1.0,1.0,,90.0,3.0,,,,,1.0,14.0,,8.0,,,,,,2.0,,,1.0,,27.0,9.0,36.0,3,3.0,64.0,5.0,3.0,1.0,1.0
2019-20,8243473,8,14,Liverpool,Home,243585,116643,Fabinho,fabinho,M,False,,,5.0,27.0,28.0,55.0,1.0,1.0,8.0,,,,2.0,,,,6.0,6.0,,,2.0,,,,,2.0,,,90.0,,,,,,,14.0,,6.8,,,,,3.0,3.0,,,8.0,,34.0,32.0,66.0,0,3.0,83.0,2.0,,2.0,
2019-20,8243473,8,14,Liverpool,Home,365772,175592,Naby Keïta,naby-keita,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2019-20,8243473,8,14,Liverpool,Home,955245,444884,Harvey Elliott,harvey-elliott,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2019-20,8243489,9,14,Liverpool,Away,791,15157,James Milner,james-milner,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
