season,matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attObxdLeft,attObxdRight,attOpenplay,attPenGoal,attPenMiss,attPenTarget,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptsConcededIbox,attemptsConcededObox,attendance,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedScoringAtt,challengeLost,clearanceOffLine,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsAgainst,goalsFor,goalsOpenplay,goodHighClaim,ground,halfTimeAgainst,halfTimeFor,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,opponent,opponent_id,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,punches,redCard,redCardsAgainst,redCardsFor,result,rightsidePass,savedIbox,savedObox,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard,blockedPass,penaltySave,putThrough,saves,attCorner,attFreekickPost,attOneOnOne,attemptsIbox,attemptsObox,contentiousDecision,openPlayPass,ptsGainedLosingPos,successfulOpenPlayPass,touchesInOppBox,attLgLeft,attLgRight,attemptedTackleFoul,expectedAssists,expectedGoals,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,ptsDroppedWinningPos,subsGoals,successfulPutThrough,attOboxOwnGoal,fiftyFifty,keeperGoals,successfulFiftyFifty,winningGoal
2016-17,855447,28.0,2017-03-11 15:00:00,35,West Brom,Away,114.0,15.0,,1.0,1.0,4.0,,135.0,4.0,,1.0,4.0,16.0,19.0,248.0,,,19.0,16.0,21.0,5.0,,,,,,,,,,,5.0,,,,,,,,8.0,8.0,,56.0,57.0,,,,1.0,2.0,7.0,,6.0,7.0,3.0,,8.0,1.0,45.0,58.0,1.0,21.0,10.0,,,56.0,12.0,8.0,,,,,,146.0,,,,,,,10.0,,,,,,,,1.0,10.0,,10.0,10.0,1.0,1.0,67.0,79.0,35.0,4.0,,1.0,4.0,2.0,,,4.0,,,36.0,62.0,29.0,,,,,151.0,151.0,1.0,26.0,26.0,37.2,,,0.0,,,,83.0,1.0,1.0,,,,1.0,,3.0,66.0,5.0,142.0,31.0,21.0,12.0,6.0,16.0,10.0,,112.0,9.0,226.0,,,33.0,17.0,62.0,,352.0,1.0,0.0,5.0,20.0,,25.0,2.0,524.0,15.0,9.0,6.0,12.0,0.0,22.0,,22.0,2.0,,,,1.0,4.0,,330.0,,236.0,15.0,,,4.0,,,,,,,12.0,,,,,
2016-17,855460,29.0,2017-03-18 12:30:00,35,West Brom,Home,68.0,8.0,3.0,6.0,3.0,1.0,,68.0,2.0,3.0,,6.0,2.0,16.0,130.0,,2.0,11.0,17.0,12.0,7.0,1.0,3.0,,,,,,,,,9.0,,,,,,,,6.0,5.0,,27.0,65.0,3.0,1.0,2.0,2.0,1.0,10.0,,4.0,7.0,2.0,2.0,7.0,1.0,41.0,41.0,2.0,23.0,8.0,,,45.0,5.0,6.0,,,1.0,1.0,,114.0,2.0,2.0,2.0,,2.0,,5.0,,,1.0,3.0,,,,,8.0,,18.0,18.0,4.0,,44.0,60.0,18.0,5.0,,3.0,7.0,8.0,,,5.0,,,33.0,32.0,22.0,,,,,131.0,131.0,3.0,36.0,18.0,23.3,,,0.0,,,,36.0,1.0,,,,3.0,3.0,,3.0,32.0,10.0,90.0,27.0,23.0,13.0,4.0,14.0,10.0,3.0,82.0,7.0,145.0,3.0,3.0,23.0,3.0,57.0,2.0,221.0,,0.0,12.0,14.0,4.0,21.0,1.0,390.0,10.0,10.0,4.0,10.0,0.0,15.0,,15.0,1.0,3.0,,1.0,11.0,1.0,,201.0,,124.0,16.0,,,1.0,,,,,,,5.0,,,,,
2016-17,855468,30.0,2017-04-01 15:00:00,35,West Brom,Away,87.0,13.0,1.0,2.0,1.0,,,81.0,2.0,1.0,1.0,6.0,10.0,20.0,166.0,1.0,,11.0,14.0,12.0,3.0,,,,,,1.0,,,,,2.0,,,,,,,,9.0,9.0,,45.0,67.0,,,,2.0,1.0,13.0,,1.0,3.0,2.0,,13.0,3.0,55.0,50.0,2.0,46.0,27.0,,1.0,41.0,13.0,14.0,,,2.0,2.0,1.0,129.0,,,,,,,12.0,,,,3.0,,,,,27.0,1.0,18.0,18.0,5.0,1.0,47.0,69.0,27.0,6.0,,1.0,2.0,1.0,,,7.0,2.0,,41.0,38.0,14.0,,,,,131.0,131.0,1.0,37.0,21.0,25.2,,,0.0,,,,40.0,1.0,2.0,,,,1.0,,3.0,35.0,3.0,122.0,22.0,46.0,9.0,1.0,8.0,7.0,,66.0,6.0,147.0,3.0,1.0,31.0,10.0,68.0,,261.0,1.0,0.0,3.0,18.0,,16.0,3.0,450.0,8.0,7.0,1.0,13.0,0.0,16.0,,16.0,3.0,,,,1.0,2.0,,231.0,,158.0,10.0,,,5.0,,,,,,,8.0,,,,,
2016-17,855478,31.0,2017-04-04 19:45:00,35,West Brom,Away,99.0,19.0,1.0,5.0,4.0,4.0,,164.0,,,1.0,7.0,10.0,20.0,258.0,,1.0,15.0,15.0,14.0,9.0,2.0,,,,,1.0,,,,,13.0,,,,,1.0,,3.0,6.0,3.0,,45.0,59.0,1.0,2.0,,3.0,6.0,6.0,,6.0,16.0,8.0,,13.0,,55.0,47.0,3.0,11.0,6.0,,1.0,57.0,14.0,11.0,,,5.0,3.0,1.0,139.0,,,,,,,3.0,,,,,,,,,6.0,1.0,12.0,12.0,,1.0,77.0,59.0,33.0,5.0,,6.0,5.0,2.0,,,4.0,3.0,,50.0,42.0,45.0,,,,,137.0,137.0,3.0,27.0,27.0,44.4,1.0,,0.0,,,,74.0,,,,,,10.0,,3.0,93.0,11.0,118.0,33.0,11.0,18.0,5.0,32.0,27.0,,135.0,7.0,249.0,,,23.0,10.0,50.0,,335.0,,0.0,18.0,12.0,3.0,17.0,4.0,513.0,8.0,11.0,6.0,8.0,0.0,11.0,,11.0,,1.0,1.0,1.0,11.0,7.0,,319.0,,247.0,27.0,,,6.0,,,,,,,6.0,,,,,
2016-17,855490,32.0,2017-04-08 15:00:00,35,West Brom,Home,91.0,13.0,2.0,8.0,6.0,4.0,1.0,197.0,2.0,1.0,1.0,14.0,13.0,29.0,280.0,,,20.0,22.0,18.0,10.0,1.0,,,,,,,,,,12.0,,,,,,,4.0,6.0,4.0,,60.0,69.0,3.0,3.0,,2.0,4.0,2.0,,7.0,15.0,2.0,,15.0,1.0,55.0,48.0,2.0,15.0,7.0,,1.0,78.0,12.0,12.0,,,1.0,2.0,,158.0,,,,,,,4.0,,,,,,,,1.0,7.0,,22.0,22.0,6.0,1.0,88.0,68.0,35.0,3.0,,2.0,9.0,6.0,,,3.0,2.0,,85.0,59.0,29.0,,,,,168.0,168.0,4.0,33.0,30.0,41.9,,,0.0,,,,77.0,1.0,1.0,,1.0,,7.0,,3.0,108.0,11.0,109.0,23.0,15.0,14.0,6.0,25.0,19.0,,167.0,15.0,299.0,,1.0,38.0,13.0,66.0,1.0,383.0,1.0,0.0,17.0,11.0,2.0,26.0,2.0,586.0,18.0,8.0,7.0,8.0,0.0,15.0,,15.0,2.0,1.0,,,11.0,6.0,,366.0,,269.0,28.0,,,6.0,,,,,,,8.0,,,,,
2016-17,855501,33.0,2017-04-16 13:30:00,35,West Brom,Home,102.0,23.0,,2.0,2.0,4.0,,113.0,5.0,,2.0,6.0,13.0,26.0,213.0,,,22.0,24.0,23.0,5.0,,,,,,,,,,,7.0,,,,,,,,7.0,8.0,,48.0,54.0,2.0,2.0,,2.0,,15.0,,4.0,12.0,5.0,,14.0,,74.0,56.0,2.0,20.0,12.0,,1.0,57.0,15.0,9.0,,,1.0,2.0,,151.0,,,,,,,12.0,,,,1.0,,,,1.0,12.0,,9.0,9.0,1.0,2.0,55.0,80.0,34.0,4.0,,3.0,2.0,2.0,,,4.0,,,54.0,36.0,34.0,,,,,171.0,171.0,1.0,21.0,26.0,36.3,,,0.0,,,,57.0,,1.0,,2.0,,5.0,,3.0,59.0,6.0,125.0,42.0,20.0,16.0,4.0,23.0,19.0,,103.0,10.0,209.0,1.0,,26.0,15.0,66.0,6.0,311.0,,0.0,7.0,15.0,2.0,30.0,3.0,505.0,17.0,9.0,4.0,10.0,0.0,22.0,,22.0,1.0,,,,3.0,4.0,,287.0,,202.0,10.0,,,7.0,,,,,,,11.0,,,,,
2016-17,855509,34.0,2017-05-16 20:00:00,35,West Brom,Away,125.0,14.0,,2.0,2.0,2.0,,86.0,5.0,,1.0,5.0,2.0,21.0,209.0,,1.0,12.0,15.0,6.0,4.0,,,,,,,,1.0,,,6.0,,,,,,,,10.0,11.0,,39.0,56.0,1.0,,1.0,2.0,2.0,14.0,,1.0,3.0,5.0,,19.0,5.0,62.0,32.0,2.0,16.0,9.0,,1.0,46.0,11.0,7.0,,,1.0,1.0,,120.0,1.0,,1.0,1.0,,,13.0,,,1.0,1.0,,,,,9.0,,28.0,28.0,3.0,1.0,65.0,67.0,25.0,7.0,,2.0,3.0,2.0,,,2.0,1.0,,26.0,39.0,12.0,,,,,126.0,126.0,3.0,34.0,12.0,29.3,,,0.0,,,,59.0,3.0,4.0,,,,2.0,,3.0,33.0,5.0,139.0,25.0,16.0,13.0,1.0,10.0,9.0,,70.0,5.0,154.0,1.0,,26.0,4.0,61.0,1.0,283.0,,0.0,6.0,11.0,3.0,15.0,2.0,457.0,16.0,9.0,1.0,8.0,0.0,8.0,,8.0,7.0,,,,3.0,3.0,,254.0,,197.0,5.0,,,9.0,,,,,,,5.0,,,,,
2016-17,855521,35.0,2017-04-29 15:00:00,35,West Brom,Home,123.0,28.0,2.0,6.0,4.0,5.0,,178.0,5.0,4.0,4.0,12.0,10.0,37.0,295.0,,,17.0,16.0,35.0,10.0,3.0,,,2.0,,2.0,,,,,10.0,,,,,,,2.0,4.0,2.0,,53.0,67.0,,,,5.0,5.0,6.0,,5.0,15.0,5.0,,11.0,,53.0,68.0,5.0,27.0,18.0,1.0,,62.0,14.0,9.0,,,5.0,1.0,2.0,166.0,,,,,,,7.0,,,,1.0,,,,,18.0,,9.0,9.0,2.0,4.0,93.0,77.0,49.0,6.0,,4.0,9.0,4.0,,,1.0,2.0,,53.0,57.0,42.0,,,,,151.0,151.0,1.0,32.0,27.0,54.8,,,0.0,,,,80.0,,,,1.0,,7.0,1.0,3.0,101.0,13.0,148.0,45.0,27.0,14.0,5.0,26.0,21.0,,145.0,14.0,270.0,2.0,4.0,36.0,12.0,72.0,1.0,392.0,,0.0,16.0,16.0,1.0,21.0,2.0,587.0,10.0,8.0,5.0,9.0,0.0,17.0,,17.0,,2.0,,,9.0,7.0,1.0,376.0,,283.0,26.0,,,7.0,,,,,,,8.0,,,,,
2016-17,855524,36.0,2017-05-06 15:00:00,35,West Brom,Away,73.0,18.0,4.0,7.0,4.0,2.0,,126.0,2.0,1.0,1.0,11.0,9.0,30.0,192.0,,,20.0,21.0,34.0,5.0,,,,,,,,,,,8.0,,,,,,,,10.0,4.0,,55.0,62.0,1.0,,1.0,2.0,7.0,3.0,,8.0,10.0,7.0,1.0,10.0,1.0,47.0,66.0,2.0,42.0,33.0,1.0,,64.0,14.0,9.0,1.0,,2.0,2.0,,145.0,1.0,1.0,1.0,,1.0,,9.0,,,1.0,2.0,,,,,33.0,,7.0,7.0,,1.0,64.0,78.0,31.0,5.0,,,6.0,3.0,,,4.0,,,65.0,55.0,29.0,,,,,164.0,164.0,4.0,31.0,17.0,44.9,,,0.0,,,,42.0,1.0,1.0,,,,1.0,,3.0,65.0,6.0,98.0,37.0,42.0,10.0,8.0,26.0,19.0,,111.0,5.0,234.0,2.0,1.0,43.0,11.0,88.0,1.0,306.0,2.0,0.0,11.0,14.0,1.0,24.0,3.0,503.0,15.0,9.0,8.0,8.0,0.0,15.0,,15.0,3.0,3.0,,,7.0,4.0,,278.0,1.0,180.0,17.0,,,5.0,,,,,2.0,,6.0,,,,,
2016-17,855540,37.0,2017-05-12 20:00:00,35,West Brom,Home,77.0,15.0,2.0,6.0,4.0,5.0,1.0,123.0,5.0,1.0,1.0,10.0,3.0,28.0,194.0,,1.0,9.0,14.0,15.0,4.0,1.0,2.0,,,,,,,,,4.0,,,,,,,2.0,13.0,11.0,,33.0,52.0,,,,1.0,3.0,8.0,,5.0,9.0,6.0,,3.0,1.0,42.0,45.0,1.0,28.0,12.0,,1.0,49.0,13.0,7.0,,,3.0,2.0,,115.0,,,,,,,12.0,,,,,,,,,12.0,,15.0,15.0,5.0,1.0,55.0,68.0,33.0,8.0,,1.0,4.0,2.0,,,9.0,3.0,,68.0,29.0,24.0,,,,,117.0,117.0,,32.0,14.0,32.4,,1.0,0.0,,,,59.0,2.0,2.0,,,2.0,2.0,,3.0,53.0,5.0,88.0,25.0,28.0,10.0,5.0,22.0,17.0,2.0,89.0,14.0,196.0,,1.0,28.0,3.0,63.0,3.0,262.0,,0.0,7.0,18.0,1.0,14.0,3.0,436.0,15.0,6.0,5.0,13.0,0.0,7.0,,7.0,4.0,1.0,,,6.0,1.0,,239.0,,183.0,13.0,,,6.0,,,,,,,3.0,,,,,
2016-17,855550,38.0,2017-05-21 15:00:00,35,West Brom,Away,107.0,15.0,1.0,5.0,4.0,,1.0,149.0,4.0,,1.0,10.0,11.0,24.0,251.0,,1.0,9.0,18.0,12.0,8.0,1.0,,,1.0,1.0,2.0,,1.0,,,12.0,,,,,,,1.0,9.0,3.0,,43.0,51.0,2.0,2.0,1.0,6.0,5.0,9.0,,4.0,8.0,9.0,1.0,14.0,,52.0,40.0,6.0,24.0,11.0,,,52.0,10.0,8.0,,,2.0,1.0,2.0,128.0,1.0,1.0,1.0,,1.0,,9.0,,,,3.0,,,,,11.0,,12.0,12.0,2.0,1.0,64.0,66.0,35.0,7.0,,3.0,7.0,5.0,,,4.0,1.0,,36.0,72.0,26.0,,,,,124.0,124.0,1.0,24.0,20.0,34.7,,2.0,0.0,,,,81.0,,,,1.0,,6.0,,3.0,83.0,10.0,120.0,20.0,24.0,5.0,4.0,22.0,18.0,,111.0,3.0,218.0,3.0,,34.0,11.0,56.0,,316.0,,0.0,16.0,18.0,1.0,14.0,1.0,500.0,19.0,2.0,4.0,13.0,0.0,19.0,,19.0,,1.0,,1.0,10.0,6.0,,297.0,,242.0,15.0,,,3.0,,,,,3.0,,11.0,,,,,
2017-18,918902,1.0,2017-08-12 15:00:00,35,West Brom,Home,67.0,15.0,4.0,6.0,2.0,1.0,1.0,96.0,3.0,,1.0,9.0,1.0,26.0,157.0,,2.0,17.0,18.0,12.0,12.0,2.0,,,,,,,,,,9.0,,,,,,,1.0,5.0,4.0,,37.0,58.0,1.0,,1.0,4.0,1.0,5.0,,8.0,7.0,1.0,1.0,6.0,1.0,52.0,34.0,4.0,26.0,11.0,,,59.0,15.0,2.0,,,1.0,1.0,,128.0,1.0,1.0,1.0,,1.0,,8.0,,,,1.0,,,,,11.0,,14.0,14.0,8.0,1.0,38.0,67.0,29.0,2.0,,9.0,6.0,6.0,,,5.0,,,38.0,49.0,32.0,,,,,130.0,130.0,1.0,29.0,19.0,28.7,,,0.0,,,,39.0,1.0,1.0,,2.0,,9.0,,3.0,52.0,15.0,92.0,29.0,26.0,11.0,7.0,16.0,9.0,,97.0,8.0,166.0,1.0,,39.0,1.0,76.0,2.0,242.0,,0.0,16.0,19.0,2.0,30.0,3.0,419.0,4.0,1.0,8.0,15.0,0.0,10.0,,10.0,2.0,,,,11.0,5.0,,225.0,,149.0,19.0,,,8.0,,,,,,,3.0,,,,,
2017-18,918904,2.0,2017-08-19 15:00:00,35,West Brom,Away,65.0,10.0,2.0,4.0,2.0,3.0,1.0,66.0,9.0,,,7.0,2.0,24.0,127.0,,,16.0,24.0,20.0,2.0,2.0,,,1.0,,1.0,,,,1.0,4.0,,,,,,,2.0,11.0,9.0,,29.0,37.0,,,,3.0,2.0,9.0,,5.0,3.0,3.0,,7.0,,52.0,44.0,3.0,36.0,28.0,,,65.0,11.0,11.0,,,2.0,2.0,1.0,139.0,1.0,,1.0,1.0,,,17.0,,,1.0,1.0,,,,,28.0,,8.0,8.0,1.0,1.0,31.0,85.0,26.0,6.0,,3.0,2.0,1.0,,,5.0,2.0,,36.0,47.0,20.0,,,,,157.0,157.0,2.0,19.0,12.0,32.2,,,0.0,,,,29.0,,,,2.0,,5.0,1.0,2.0,27.0,5.0,91.0,20.0,36.0,8.0,5.0,13.0,8.0,,76.0,11.0,150.0,1.0,,43.0,3.0,73.0,3.0,228.0,,1.0,8.0,9.0,,29.0,0.0,405.0,19.0,6.0,5.0,3.0,0.0,8.0,,8.0,,,,,5.0,3.0,,200.0,,116.0,9.0,,,6.0,,,,,,,3.0,,,,,
2017-18,918922,3.0,2017-08-27 13:30:00,35,West Brom,Home,110.0,8.0,2.0,9.0,7.0,,1.0,138.0,2.0,,1.0,7.0,6.0,20.0,239.0,,,18.0,29.0,13.0,3.0,3.0,,,,,,,1.0,,,5.0,,,,1.0,,,1.0,8.0,8.0,,46.0,40.0,1.0,,1.0,2.0,,10.0,,10.0,11.0,11.0,,16.0,1.0,68.0,41.0,2.0,24.0,18.0,1.0,,53.0,10.0,8.0,,,3.0,2.0,,124.0,1.0,,1.0,1.0,,,11.0,,,1.0,3.0,,,,,18.0,1.0,3.0,3.0,,1.0,70.0,69.0,32.0,4.0,1.0,5.0,2.0,2.0,,,5.0,,,59.0,50.0,42.0,,,,,135.0,135.0,1.0,25.0,10.0,42.8,1.0,1.0,0.0,,,,74.0,,1.0,,,,8.0,,3.0,62.0,7.0,131.0,15.0,24.0,8.0,10.0,34.0,24.0,,98.0,4.0,217.0,3.0,,28.0,6.0,58.0,2.0,314.0,,0.0,10.0,17.0,1.0,21.0,2.0,494.0,10.0,4.0,10.0,13.0,0.0,14.0,,14.0,1.0,,,,8.0,2.0,,294.0,,229.0,16.0,,,6.0,,,,,2.0,,4.0,,,,,
2017-18,918924,4.0,2017-09-09 15:00:00,35,West Brom,Away,183.0,14.0,2.0,5.0,4.0,2.0,,199.0,2.0,,1.0,7.0,6.0,31.0,377.0,,,25.0,15.0,24.0,7.0,1.0,,,,,,,,,,9.0,,,,,,,1.0,3.0,9.0,,67.0,56.0,2.0,1.0,1.0,2.0,3.0,3.0,,6.0,14.0,15.0,,12.0,,38.0,49.0,2.0,26.0,14.0,,,63.0,4.0,8.0,,,1.0,1.0,,162.0,1.0,,1.0,1.0,,,6.0,,,1.0,2.0,,,,,14.0,,10.0,10.0,,1.0,109.0,77.0,40.0,2.0,,5.0,4.0,3.0,,,3.0,,,57.0,111.0,38.0,,,,,147.0,147.0,3.0,23.0,23.0,51.4,,,0.0,,,,123.0,1.0,2.0,,1.0,,6.0,,3.0,92.0,9.0,195.0,28.0,26.0,15.0,6.0,35.0,30.0,,132.0,13.0,301.0,2.0,,28.0,8.0,68.0,1.0,461.0,,0.0,12.0,8.0,1.0,28.0,0.0,656.0,12.0,10.0,6.0,4.0,0.0,23.0,,23.0,3.0,,,,5.0,7.0,,440.0,,363.0,20.0,,,3.0,,,,,,,7.0,,,,,
2017-18,918942,5.0,2017-09-16 15:00:00,35,West Brom,Home,109.0,6.0,2.0,6.0,4.0,,,109.0,4.0,,,5.0,3.0,21.0,212.0,,,13.0,15.0,6.0,4.0,1.0,,,,,,,,,,5.0,,,,,,,,4.0,5.0,,48.0,47.0,1.0,1.0,,9.0,2.0,5.0,,2.0,8.0,5.0,,7.0,1.0,45.0,29.0,9.0,24.0,13.0,,,47.0,15.0,7.0,,,,,,122.0,,,,,,,13.0,,,,1.0,,,,1.0,13.0,,9.0,9.0,1.0,,65.0,72.0,33.0,3.0,,3.0,2.0,1.0,,,3.0,1.0,,40.0,48.0,17.0,,,,,117.0,117.0,3.0,25.0,14.0,36.8,,,0.0,,,,55.0,,1.0,,,,3.0,1.0,3.0,35.0,5.0,128.0,14.0,24.0,13.0,2.0,15.0,13.0,,70.0,5.0,177.0,1.0,,26.0,3.0,65.0,3.0,290.0,,0.0,6.0,7.0,,17.0,2.0,436.0,11.0,9.0,2.0,7.0,0.0,5.0,,5.0,1.0,,,,4.0,2.0,,266.0,,203.0,8.0,,,9.0,,,,,,,3.0,,,,,
2017-18,918943,6.0,2017-09-25 20:00:00,35,West Brom,Away,84.0,22.0,1.0,3.0,2.0,5.0,,107.0,3.0,1.0,2.0,8.0,3.0,26.0,188.0,,1.0,10.0,24.0,21.0,3.0,1.0,,,,,,,,,,5.0,,,,,,,1.0,10.0,6.0,,38.0,58.0,,2.0,,2.0,1.0,13.0,,4.0,7.0,1.0,,11.0,1.0,69.0,53.0,2.0,23.0,12.0,,,53.0,17.0,6.0,,,2.0,1.0,,116.0,,,,,,,9.0,,,,1.0,,,,,12.0,1.0,20.0,20.0,,2.0,56.0,66.0,29.0,7.0,,1.0,3.0,3.0,,,4.0,4.0,,34.0,31.0,23.0,1.0,1.0,1.0,,133.0,133.0,6.0,26.0,15.0,30.9,,,0.0,,,,62.0,1.0,3.0,,1.0,,3.0,,3.0,43.0,4.0,98.0,40.0,23.0,14.0,4.0,13.0,9.0,,91.0,14.0,187.0,1.0,1.0,28.0,3.0,67.0,,272.0,,0.0,7.0,16.0,1.0,16.0,4.0,439.0,14.0,10.0,4.0,12.0,0.0,8.0,,8.0,4.0,,,,4.0,3.0,1.0,251.0,,180.0,15.0,,,11.0,,,,,,,3.0,,,,,
2017-18,918961,7.0,2017-09-30 15:00:00,35,West Brom,Home,119.0,12.0,1.0,2.0,1.0,1.0,,88.0,3.0,,1.0,9.0,4.0,26.0,205.0,,1.0,8.0,27.0,31.0,3.0,1.0,2.0,,,,,,,,,6.0,,,,,,,,9.0,6.0,,47.0,72.0,2.0,1.0,2.0,2.0,2.0,9.0,,7.0,7.0,2.0,1.0,13.0,,68.0,77.0,2.0,45.0,32.0,,,60.0,12.0,11.0,1.0,,4.0,3.0,,133.0,1.0,,1.0,1.0,,1.0,12.0,,,1.0,2.0,,,,,32.0,,10.0,10.0,2.0,1.0,62.0,81.0,37.0,6.0,,2.0,3.0,4.0,,,6.0,3.0,,66.0,14.0,27.0,,,,,146.0,146.0,5.0,41.0,20.0,34.9,,1.0,0.0,,,,53.0,1.0,,,,2.0,3.0,,3.0,49.0,5.0,141.0,25.0,45.0,18.0,6.0,18.0,12.0,3.0,91.0,5.0,172.0,2.0,,32.0,4.0,72.0,1.0,295.0,,0.0,9.0,25.0,2.0,11.0,3.0,501.0,12.0,10.0,7.0,18.0,0.0,13.0,,13.0,1.0,,,1.0,7.0,2.0,,269.0,,191.0,18.0,,,7.0,,,,,2.0,,7.0,,,,,
2017-18,918966,8.0,2017-10-16 20:00:00,35,West Brom,Away,118.0,21.0,,2.0,2.0,7.0,,155.0,5.0,,,7.0,4.0,28.0,271.0,,,15.0,19.0,20.0,3.0,1.0,,1.0,,,1.0,,,,,3.0,,,,,,,1.0,8.0,3.0,,50.0,78.0,,,,3.0,1.0,14.0,,1.0,8.0,5.0,,14.0,2.0,60.0,55.0,3.0,28.0,20.0,,,65.0,6.0,13.0,1.0,,3.0,,1.0,163.0,,,,,,,9.0,,,,3.0,,,,,20.0,,19.0,19.0,,,76.0,83.0,42.0,4.0,,3.0,1.0,1.0,,,4.0,4.0,,65.0,50.0,17.0,,,,,171.0,171.0,4.0,36.0,34.0,43.0,,,0.0,,,,89.0,1.0,1.0,,1.0,,3.0,,2.0,55.0,4.0,147.0,38.0,28.0,14.0,,13.0,13.0,,101.0,12.0,244.0,3.0,,35.0,4.0,75.0,1.0,378.0,1.0,0.0,5.0,15.0,,31.0,2.0,579.0,11.0,7.0,1.0,8.0,0.0,15.0,,15.0,2.0,,,,1.0,4.0,,349.0,,253.0,7.0,,,5.0,,,,,2.0,,5.0,,,,,
2017-18,918978,9.0,2017-10-21 17:30:00,35,West Brom,Away,81.0,11.0,,2.0,2.0,4.0,,127.0,6.0,,1.0,9.0,1.0,25.0,206.0,,1.0,12.0,20.0,20.0,4.0,,,,,,1.0,,,,,6.0,,,,,,,,11.0,9.0,,51.0,56.0,1.0,1.0,,2.0,1.0,17.0,,3.0,4.0,9.0,,18.0,2.0,65.0,40.0,2.0,31.0,17.0,,,60.0,8.0,10.0,,,2.0,1.0,1.0,155.0,,,,,,,17.0,,,,1.0,,,,1.0,17.0,,12.0,12.0,4.0,1.0,50.0,79.0,31.0,8.0,,3.0,1.0,2.0,,,3.0,1.0,,69.0,55.0,26.0,,,,,153.0,153.0,5.0,29.0,16.0,34.3,,,0.0,,,,51.0,3.0,2.0,,,,4.0,,3.0,59.0,4.0,103.0,29.0,31.0,4.0,3.0,17.0,14.0,,106.0,12.0,221.0,1.0,,31.0,2.0,70.0,1.0,307.0,,0.0,7.0,10.0,1.0,16.0,1.0,482.0,10.0,1.0,3.0,7.0,0.0,19.0,,19.0,5.0,,,,2.0,5.0,,278.0,,191.0,8.0,,,5.0,,,,,,,11.0,,,,,
2017-18,918992,10.0,2017-10-28 15:00:00,35,West Brom,Home,92.0,16.0,,2.0,2.0,3.0,,61.0,5.0,2.0,2.0,4.0,,22.0,151.0,,1.0,13.0,17.0,12.0,3.0,,,,,,,,,,,7.0,,,,,,,,7.0,8.0,,34.0,62.0,2.0,1.0,2.0,2.0,2.0,15.0,,1.0,4.0,,,13.0,2.0,58.0,51.0,2.0,16.0,8.0,,,50.0,10.0,7.0,1.0,,2.0,1.0,,125.0,1.0,,1.0,1.0,,,10.0,,,2.0,,,,,,8.0,,17.0,17.0,5.0,2.0,54.0,69.0,25.0,2.0,,1.0,3.0,4.0,,,2.0,1.0,,27.0,30.0,15.0,,,,,144.0,144.0,2.0,34.0,16.0,21.7,,,0.0,,,,41.0,1.0,1.0,,,,1.0,,3.0,27.0,4.0,122.0,31.0,16.0,15.0,1.0,6.0,5.0,,70.0,10.0,138.0,,2.0,30.0,,69.0,5.0,254.0,,0.0,7.0,21.0,2.0,17.0,2.0,416.0,11.0,12.0,1.0,11.0,0.0,21.0,,21.0,2.0,,,,5.0,2.0,,230.0,,139.0,7.0,,,8.0,,,,,,,10.0,,,,,
