season,matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickPost,attFreekickTotal,attIboxOwnGoal,attLgCentre,attObxdLeft,attOneOnOne,attOpenplay,attPenGoal,attPenTarget,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,punches,putThrough,redCard,rightsidePass,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard,attCorner,attFreekickTarget,attObxdRight,ptsGainedLosingPos,attPenMiss,goalFastbreak,expectedAssists,expectedGoals,expectedGoalsFreekick,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,fiftyFifty,successfulFiftyFifty
2016-17,855329,16,2016-12-14 20:00:00,57,Watford,Away,101.0,11.0,,2.0,2.0,2.0,1.0,103.0,3.0,,4.0,7.0,13.0,27.0,202.0,,,16.0,20.0,10.0,3.0,,,,1.0,,1.0,,1.0,,,3.0,,,,,,1.0,10.0,8.0,5.0,2.0,3.0,49.0,55.0,1.0,1.0,,3.0,19.0,,11.0,,,2.0,3.0,4.0,,16.0,5.0,68.0,53.0,3.0,22.0,5.0,,,60.0,20.0,16.0,,,2.0,1.0,1.0,121.0,,,,,,9.0,,,,5.0,,15.0,15.0,1.0,4.0,49.0,58.0,22.0,5.0,,2.0,1.0,2.0,256.0,2.0,7.0,,27.0,51.0,17.0,,,,,,150.0,150.0,1.0,32.0,14.0,36.6,,,,19.0,0.0,68.0,4.0,1.0,5.0,,,,3.0,,3.0,48.0,185.0,7.0,3.0,131.0,18.0,22.0,20.0,2.0,10.0,8.0,,86.0,4.0,166.0,,,40.0,14.0,73.0,3.0,287.0,1.0,0.0,5.0,11.0,,26.0,2.0,491.0,7.0,17.0,16.0,2.0,8.0,0.0,,,,,,,,,,,,,
2016-17,855338,17,2016-12-17 15:00:00,57,Watford,Away,123.0,13.0,3.0,7.0,4.0,6.0,2.0,148.0,5.0,,7.0,10.0,8.0,36.0,264.0,,,27.0,29.0,18.0,4.0,4.0,,,1.0,,1.0,,,,,3.0,,,,,,2.0,3.0,9.0,2.0,6.0,4.0,59.0,56.0,1.0,1.0,,4.0,13.0,2.0,8.0,,,11.0,13.0,3.0,,8.0,1.0,61.0,49.0,4.0,17.0,8.0,,,70.0,9.0,9.0,,,5.0,3.0,1.0,146.0,,,,,,8.0,,2.0,,8.0,,8.0,8.0,2.0,9.0,77.0,80.0,36.0,4.0,,3.0,5.0,4.0,344.0,6.0,3.0,,74.0,32.0,38.0,,,,,,161.0,161.0,1.0,18.0,24.0,57.4,,,,13.0,0.0,82.0,1.0,,1.0,,1.0,,4.0,,3.0,68.0,251.0,7.0,8.0,142.0,29.0,17.0,18.0,11.0,30.0,19.0,,116.0,14.0,252.0,2.0,,35.0,8.0,77.0,2.0,364.0,1.0,0.0,10.0,13.0,2.0,32.0,2.0,567.0,23.0,9.0,9.0,11.0,11.0,0.0,4.0,,,,,,,,,,,,
2016-17,855351,18,2016-12-26 12:30:00,57,Watford,Home,108.0,18.0,1.0,7.0,6.0,6.0,1.0,134.0,3.0,,7.0,14.0,8.0,31.0,235.0,,,21.0,28.0,20.0,4.0,,,,,,,,,,,7.0,1.0,,,,,1.0,9.0,5.0,5.0,3.0,6.0,51.0,63.0,,,1.0,,14.0,2.0,8.0,,,7.0,12.0,7.0,,11.0,1.0,73.0,56.0,,29.0,16.0,,1.0,75.0,18.0,16.0,,,2.0,2.0,,161.0,,,,,,6.0,,3.0,,16.0,,9.0,9.0,,7.0,72.0,74.0,29.0,3.0,,2.0,2.0,3.0,330.0,1.0,1.0,,62.0,42.0,44.0,,1.0,1.0,1.0,1.0,183.0,183.0,8.0,19.0,25.0,56.1,,,1.0,14.0,0.0,71.0,3.0,,3.0,,,,4.0,,3.0,63.0,222.0,8.0,4.0,129.0,42.0,29.0,18.0,7.0,28.0,21.0,,131.0,16.0,254.0,3.0,,41.0,9.0,77.0,,355.0,,0.0,9.0,14.0,2.0,29.0,2.0,563.0,24.0,12.0,8.0,7.0,7.0,0.0,,,,1.0,,,,,,,,,
2016-17,855361,19,2017-01-01 13:30:00,57,Watford,Home,92.0,15.0,,1.0,1.0,3.0,,99.0,7.0,,4.0,9.0,7.0,30.0,190.0,,,17.0,14.0,13.0,3.0,,,,,,,,,,,4.0,,,,,,2.0,8.0,11.0,8.0,4.0,2.0,47.0,69.0,,1.0,1.0,3.0,17.0,3.0,5.0,,,,4.0,3.0,1.0,16.0,2.0,52.0,42.0,3.0,28.0,11.0,2.0,1.0,46.0,11.0,5.0,,,3.0,1.0,,130.0,,,,,,13.0,,,,11.0,,12.0,12.0,2.0,6.0,54.0,61.0,24.0,3.0,,1.0,2.0,2.0,265.0,2.0,1.0,,44.0,33.0,17.0,,,,,,155.0,155.0,3.0,36.0,19.0,33.8,,,,17.0,0.0,62.0,,2.0,2.0,,1.0,,1.0,,3.0,46.0,175.0,7.0,3.0,122.0,33.0,28.0,11.0,,8.0,8.0,,87.0,15.0,179.0,,,35.0,8.0,76.0,5.0,293.0,,0.0,6.0,19.0,,22.0,3.0,474.0,15.0,10.0,5.0,,14.0,0.0,,,,,,,,,,,,,
2016-17,855367,20,2017-01-03 20:00:00,57,Watford,Away,124.0,26.0,1.0,4.0,3.0,7.0,,117.0,3.0,,,6.0,9.0,22.0,237.0,,,18.0,26.0,23.0,5.0,2.0,,,,,1.0,,,,,5.0,,,,,,1.0,8.0,11.0,5.0,5.0,4.0,54.0,55.0,,,,6.0,19.0,3.0,12.0,,,6.0,3.0,6.0,,7.0,3.0,60.0,53.0,6.0,29.0,14.0,1.0,1.0,60.0,15.0,10.0,,,4.0,3.0,1.0,149.0,,,,,,11.0,,,,14.0,,11.0,11.0,1.0,,71.0,74.0,31.0,7.0,,2.0,5.0,2.0,329.0,4.0,,,43.0,33.0,36.0,,,,,,165.0,165.0,3.0,30.0,19.0,46.0,,,1.0,19.0,0.0,78.0,3.0,,3.0,,,,4.0,,3.0,49.0,227.0,9.0,7.0,151.0,48.0,29.0,6.0,6.0,18.0,12.0,,102.0,12.0,219.0,,,36.0,11.0,77.0,,352.0,,0.0,9.0,16.0,,27.0,2.0,542.0,25.0,20.0,6.0,6.0,10.0,0.0,2.0,,,,,,,,,,,,
2016-17,855380,21,2017-01-14 15:00:00,57,Watford,Home,108.0,20.0,2.0,9.0,7.0,8.0,1.0,151.0,4.0,,1.0,2.0,9.0,25.0,250.0,,1.0,18.0,27.0,28.0,7.0,3.0,,,,,,,,,1.0,8.0,,,,,1.0,1.0,7.0,3.0,2.0,9.0,3.0,39.0,54.0,1.0,1.0,,3.0,20.0,1.0,3.0,,,3.0,12.0,9.0,,11.0,1.0,61.0,54.0,3.0,17.0,10.0,,,71.0,15.0,15.0,,,5.0,3.0,,153.0,,,,,,6.0,,1.0,1.0,10.0,1.0,18.0,18.0,,1.0,80.0,81.0,36.0,1.0,,4.0,6.0,5.0,331.0,,2.0,,59.0,46.0,36.0,,,,,,166.0,166.0,4.0,23.0,22.0,46.0,1.0,,,20.0,0.0,83.0,,1.0,1.0,,,,6.0,,3.0,63.0,235.0,9.0,10.0,122.0,48.0,17.0,11.0,2.0,26.0,24.0,,116.0,11.0,259.0,1.0,,14.0,9.0,61.0,2.0,355.0,1.0,0.0,12.0,8.0,1.0,33.0,3.0,541.0,23.0,7.0,4.0,3.0,7.0,0.0,2.0,,,,,,,,,,,,
2016-17,855382,22,2017-01-21 15:00:00,57,Watford,Away,105.0,11.0,1.0,1.0,,5.0,,96.0,2.0,,3.0,8.0,3.0,19.0,200.0,,,3.0,19.0,24.0,3.0,,,,,,,,,,,4.0,,,,,,2.0,6.0,10.0,5.0,3.0,7.0,48.0,77.0,1.0,,1.0,8.0,17.0,5.0,14.0,,,4.0,2.0,2.0,,4.0,3.0,55.0,43.0,8.0,47.0,18.0,,,67.0,16.0,5.0,1.0,,,,,153.0,2.0,1.0,2.0,,2.0,8.0,,1.0,1.0,18.0,,15.0,15.0,1.0,6.0,57.0,87.0,39.0,9.0,1.0,,5.0,3.0,296.0,4.0,1.0,,55.0,36.0,22.0,,,,,,159.0,159.0,7.0,34.0,28.0,37.1,,2.0,2.0,17.0,0.0,61.0,2.0,1.0,3.0,,2.0,,2.0,,3.0,37.0,189.0,9.0,5.0,126.0,40.0,47.0,9.0,3.0,7.0,4.0,,102.0,15.0,200.0,1.0,,32.0,6.0,70.0,2.0,319.0,,0.0,10.0,10.0,,15.0,2.0,496.0,10.0,7.0,4.0,4.0,9.0,0.0,4.0,,,,,,,,,,,,
2016-17,855393,23,2017-01-31 19:45:00,57,Watford,Away,54.0,9.0,3.0,4.0,1.0,4.0,,75.0,4.0,4.0,2.0,2.0,,15.0,125.0,,,7.0,20.0,25.0,3.0,1.0,,,,,,,,,,6.0,,,,,,2.0,13.0,14.0,6.0,6.0,4.0,25.0,66.0,,,1.0,5.0,17.0,2.0,15.0,,,5.0,4.0,1.0,1.0,9.0,3.0,70.0,70.0,5.0,40.0,18.0,,,54.0,15.0,10.0,1.0,,4.0,4.0,,98.0,1.0,1.0,1.0,,1.0,11.0,1.0,4.0,,18.0,,22.0,22.0,3.0,8.0,41.0,65.0,23.0,9.0,,2.0,3.0,6.0,181.0,7.0,4.0,,41.0,20.0,25.0,,,,,,140.0,140.0,5.0,22.0,26.0,26.5,,,3.0,17.0,0.0,43.0,4.0,,4.0,,2.0,,2.0,1.0,3.0,38.0,112.0,8.0,5.0,68.0,18.0,40.0,23.0,4.0,13.0,9.0,,81.0,9.0,152.0,4.0,4.0,29.0,,58.0,1.0,207.0,,0.0,10.0,24.0,,20.0,3.0,439.0,19.0,5.0,12.0,5.0,16.0,0.0,2.0,,,,,,,,,,,,
2016-17,855410,24,2017-02-04 15:00:00,57,Watford,Home,166.0,27.0,,7.0,7.0,1.0,,239.0,1.0,5.0,1.0,10.0,15.0,38.0,398.0,,,21.0,34.0,25.0,10.0,1.0,,,,,,,,,,13.0,,,,,,1.0,6.0,5.0,6.0,7.0,9.0,76.0,69.0,2.0,1.0,1.0,3.0,15.0,6.0,4.0,1.0,,3.0,9.0,7.0,,12.0,3.0,72.0,56.0,3.0,24.0,7.0,,1.0,90.0,12.0,9.0,2.0,,2.0,2.0,,165.0,2.0,,2.0,2.0,,2.0,2.0,1.0,2.0,7.0,,9.0,9.0,,1.0,145.0,97.0,44.0,6.0,,3.0,10.0,7.0,500.0,3.0,4.0,,105.0,65.0,30.0,1.0,1.0,1.0,,,182.0,182.0,8.0,23.0,27.0,60.4,,,,15.0,0.0,134.0,3.0,3.0,5.0,,,,3.0,,3.0,122.0,384.0,6.0,13.0,192.0,57.0,24.0,20.0,2.0,20.0,18.0,,187.0,11.0,348.0,1.0,5.0,41.0,15.0,88.0,2.0,520.0,1.0,0.0,16.0,14.0,,27.0,5.0,713.0,16.0,11.0,8.0,3.0,10.0,0.0,1.0,,,,,,,,,,,,
2016-17,855416,25,2017-02-11 15:00:00,57,Watford,Away,171.0,15.0,,3.0,3.0,5.0,,159.0,2.0,1.0,4.0,17.0,14.0,35.0,327.0,,,9.0,15.0,9.0,7.0,,,,,,1.0,,,,,8.0,,,,,,,7.0,12.0,10.0,3.0,6.0,63.0,79.0,1.0,1.0,,1.0,21.0,1.0,17.0,,,1.0,7.0,2.0,,16.0,6.0,72.0,45.0,1.0,18.0,7.0,,,58.0,12.0,10.0,,,2.0,,1.0,174.0,,,,,,9.0,,,,7.0,,21.0,21.0,3.0,5.0,95.0,87.0,45.0,5.0,,5.0,2.0,3.0,397.0,4.0,6.0,,52.0,39.0,19.0,,,,,,159.0,159.0,1.0,39.0,28.0,42.1,,,,21.0,0.0,94.0,3.0,6.0,9.0,,,,5.0,,3.0,61.0,311.0,7.0,7.0,196.0,22.0,18.0,22.0,1.0,10.0,9.0,,97.0,12.0,240.0,,1.0,48.0,15.0,79.0,,426.0,,0.0,9.0,17.0,,12.0,0.0,617.0,12.0,15.0,10.0,1.0,12.0,0.0,,1.0,,,,,,,,,,,
2016-17,855430,26,2017-02-25 17:30:00,57,Watford,Home,81.0,18.0,,1.0,1.0,4.0,,88.0,3.0,,4.0,8.0,10.0,25.0,168.0,,,11.0,22.0,31.0,6.0,1.0,,,,,,,,,,5.0,1.0,,,,,1.0,8.0,6.0,7.0,5.0,4.0,27.0,63.0,,2.0,1.0,7.0,12.0,5.0,14.0,,,4.0,3.0,3.0,,5.0,1.0,68.0,63.0,7.0,22.0,18.0,,1.0,44.0,18.0,13.0,1.0,,1.0,,,121.0,,,,,,9.0,,,,18.0,,15.0,15.0,2.0,4.0,55.0,70.0,36.0,6.0,,2.0,5.0,1.0,230.0,4.0,5.0,,43.0,17.0,24.0,,,,,1.0,142.0,142.0,3.0,27.0,27.0,35.6,,2.0,,12.0,0.0,55.0,1.0,,1.0,,,,3.0,,3.0,47.0,153.0,6.0,7.0,95.0,31.0,22.0,16.0,4.0,10.0,6.0,,87.0,17.0,173.0,,,24.0,11.0,60.0,2.0,258.0,,0.0,9.0,13.0,,22.0,4.0,437.0,19.0,11.0,7.0,4.0,9.0,0.0,2.0,,,,,,,,,,,,
2016-17,855439,27,2017-03-04 15:00:00,57,Watford,Home,75.0,9.0,2.0,6.0,4.0,8.0,,87.0,4.0,2.0,2.0,15.0,1.0,23.0,156.0,,,10.0,18.0,27.0,8.0,1.0,,,,,,,,,,10.0,,,,,,2.0,5.0,12.0,8.0,11.0,5.0,35.0,64.0,1.0,,1.0,3.0,23.0,5.0,11.0,,,6.0,9.0,4.0,,4.0,6.0,56.0,66.0,3.0,38.0,17.0,1.0,,62.0,16.0,9.0,2.0,1.0,1.0,1.0,,134.0,2.0,,1.0,1.0,1.0,6.0,1.0,1.0,,17.0,,12.0,12.0,1.0,4.0,36.0,72.0,28.0,5.0,,5.0,6.0,4.0,237.0,5.0,2.0,,31.0,29.0,43.0,,,,,,166.0,166.0,7.0,28.0,22.0,37.8,,3.0,1.0,23.0,0.0,53.0,4.0,3.0,7.0,,,,7.0,,2.0,51.0,144.0,13.0,11.0,95.0,25.0,38.0,16.0,6.0,20.0,14.0,,103.0,17.0,183.0,2.0,2.0,44.0,1.0,62.0,2.0,258.0,,0.0,16.0,22.0,,24.0,3.0,483.0,27.0,17.0,8.0,6.0,16.0,0.0,1.0,,,,,,,,,,,,
2016-17,855445,28,2017-05-15 20:00:00,57,Watford,Away,264.0,12.0,1.0,1.0,,,,183.0,2.0,,2.0,6.0,14.0,19.0,446.0,,,21.0,12.0,6.0,4.0,,,,,,,,1.0,,1.0,7.0,,,,,,,7.0,17.0,7.0,4.0,5.0,96.0,62.0,,,2.0,1.0,22.0,1.0,16.0,,,3.0,2.0,2.0,,24.0,4.0,72.0,33.0,1.0,17.0,4.0,,3.0,44.0,12.0,6.0,1.0,,1.0,1.0,,138.0,,,,,,5.0,3.0,,,4.0,,15.0,15.0,2.0,2.0,158.0,67.0,40.0,8.0,1.0,3.0,1.0,3.0,500.0,8.0,2.0,,87.0,56.0,11.0,,,,,,139.0,139.0,3.0,32.0,21.0,52.9,,,,22.0,0.0,130.0,4.0,1.0,5.0,1.0,,,5.0,,2.0,55.0,433.0,11.0,4.0,287.0,26.0,17.0,17.0,3.0,8.0,5.0,,85.0,1.0,243.0,,,18.0,15.0,45.0,2.0,522.0,1.0,1.0,9.0,12.0,,25.0,4.0,713.0,7.0,16.0,9.0,3.0,8.0,0.0,2.0,,,,,,,,,,,,
2016-17,855453,29,2017-03-18 15:00:00,57,Watford,Away,139.0,14.0,,2.0,2.0,3.0,,135.0,1.0,,1.0,8.0,14.0,19.0,272.0,,,20.0,23.0,19.0,4.0,1.0,,,,,,1.0,,,,5.0,,,,,,,5.0,6.0,2.0,2.0,4.0,62.0,57.0,,,,4.0,18.0,,10.0,,,2.0,5.0,2.0,,7.0,,64.0,50.0,4.0,28.0,15.0,,,73.0,15.0,7.0,,,1.0,1.0,,165.0,,,,,,9.0,,1.0,1.0,15.0,,6.0,6.0,,4.0,83.0,76.0,27.0,3.0,,3.0,2.0,2.0,374.0,2.0,1.0,1.0,57.0,51.0,34.0,,,,,,183.0,183.0,1.0,34.0,15.0,57.0,,,1.0,18.0,0.0,84.0,,,,,,,4.0,,3.0,63.0,263.0,6.0,5.0,163.0,31.0,28.0,20.0,2.0,10.0,8.0,,131.0,12.0,241.0,1.0,,42.0,15.0,74.0,1.0,394.0,1.0,0.0,6.0,15.0,,36.0,2.0,577.0,19.0,14.0,9.0,2.0,11.0,0.0,,,,,,,,,,,,,
2016-17,855471,30,2017-04-01 15:00:00,57,Watford,Home,148.0,17.0,3.0,9.0,6.0,5.0,,179.0,3.0,,4.0,5.0,10.0,23.0,318.0,1.0,1.0,14.0,23.0,28.0,13.0,2.0,1.0,,,,,,,,,16.0,,,,,,,6.0,3.0,8.0,15.0,8.0,62.0,54.0,2.0,1.0,1.0,2.0,15.0,8.0,3.0,,,13.0,19.0,8.0,1.0,4.0,2.0,47.0,63.0,2.0,37.0,21.0,,,48.0,12.0,8.0,,,,1.0,,136.0,1.0,,1.0,,1.0,8.0,,2.0,,21.0,1.0,13.0,13.0,1.0,5.0,104.0,65.0,36.0,9.0,,3.0,13.0,10.0,370.0,6.0,2.0,,59.0,50.0,44.0,,,,,,127.0,127.0,2.0,20.0,23.0,56.7,,,1.0,15.0,0.0,85.0,1.0,2.0,3.0,,1.0,1.0,5.0,1.0,3.0,101.0,309.0,10.0,16.0,166.0,29.0,37.0,13.0,12.0,40.0,28.0,1.0,130.0,8.0,261.0,2.0,,21.0,10.0,58.0,1.0,387.0,1.0,0.0,23.0,19.0,1.0,14.0,1.0,612.0,35.0,14.0,8.0,13.0,14.0,0.0,7.0,,,,,,,,,,,,
2016-17,855478,31,2017-04-04 19:45:00,57,Watford,Home,219.0,21.0,1.0,4.0,3.0,4.0,,158.0,3.0,,2.0,11.0,19.0,42.0,373.0,,1.0,13.0,14.0,15.0,4.0,1.0,,,,,,,,1.0,1.0,7.0,,,,,,,6.0,11.0,7.0,6.0,3.0,83.0,48.0,1.0,,1.0,2.0,11.0,4.0,11.0,,1.0,5.0,9.0,1.0,,4.0,1.0,47.0,55.0,2.0,40.0,19.0,,,37.0,11.0,14.0,1.0,,3.0,2.0,,141.0,2.0,,1.0,2.0,,11.0,2.0,3.0,,19.0,,7.0,7.0,1.0,3.0,109.0,74.0,42.0,6.0,1.0,2.0,5.0,2.0,414.0,5.0,2.0,,81.0,53.0,18.0,,,,,,122.0,122.0,2.0,20.0,20.0,55.6,,,3.0,11.0,0.0,108.0,2.0,,2.0,1.0,,,3.0,,3.0,67.0,359.0,5.0,7.0,234.0,29.0,40.0,14.0,4.0,16.0,12.0,,91.0,8.0,223.0,3.0,,24.0,20.0,73.0,1.0,441.0,,1.0,9.0,20.0,1.0,22.0,1.0,636.0,11.0,17.0,6.0,5.0,14.0,0.0,1.0,,,,,,,,,,,,
2016-17,855489,32,2017-04-08 12:30:00,57,Watford,Away,167.0,13.0,,3.0,3.0,2.0,1.0,112.0,4.0,,4.0,6.0,10.0,23.0,276.0,,,12.0,12.0,7.0,6.0,,,,,,1.0,,,,,5.0,,,,,,1.0,9.0,8.0,11.0,4.0,4.0,67.0,55.0,,,,4.0,13.0,2.0,14.0,,,5.0,7.0,2.0,,9.0,2.0,60.0,45.0,4.0,15.0,5.0,,,37.0,12.0,11.0,,,4.0,4.0,1.0,131.0,,,,,,10.0,,1.0,1.0,5.0,,17.0,17.0,3.0,7.0,68.0,60.0,32.0,7.0,,3.0,3.0,2.0,318.0,8.0,3.0,,51.0,38.0,18.0,,,,,,125.0,125.0,4.0,29.0,14.0,41.3,,,,13.0,0.0,77.0,1.0,1.0,2.0,,1.0,,4.0,,3.0,53.0,261.0,8.0,6.0,191.0,22.0,15.0,28.0,4.0,17.0,13.0,,76.0,5.0,169.0,1.0,1.0,19.0,11.0,48.0,1.0,343.0,,0.0,8.0,14.0,2.0,15.0,1.0,535.0,13.0,11.0,14.0,5.0,12.0,0.0,1.0,1.0,,,,,,,,,,,
2016-17,855500,33,2017-04-15 15:00:00,57,Watford,Home,217.0,17.0,1.0,3.0,2.0,4.0,1.0,133.0,5.0,,3.0,10.0,8.0,30.0,347.0,,,15.0,25.0,21.0,9.0,1.0,,,,,1.0,,,,,13.0,,,,,,,3.0,9.0,4.0,5.0,10.0,78.0,68.0,,1.0,1.0,2.0,18.0,2.0,6.0,,,6.0,6.0,2.0,,13.0,3.0,59.0,61.0,2.0,23.0,14.0,,1.0,46.0,8.0,10.0,,1.0,4.0,1.0,1.0,176.0,,,,,,11.0,1.0,3.0,,14.0,,3.0,3.0,,4.0,94.0,83.0,47.0,2.0,1.0,5.0,5.0,7.0,417.0,4.0,1.0,,64.0,29.0,21.0,,,,,,157.0,157.0,1.0,33.0,24.0,53.0,,,1.0,18.0,0.0,98.0,3.0,1.0,4.0,,,,6.0,1.0,3.0,49.0,328.0,7.0,10.0,247.0,33.0,23.0,21.0,5.0,14.0,9.0,,92.0,17.0,213.0,3.0,,28.0,9.0,70.0,4.0,446.0,,0.0,15.0,16.0,1.0,19.0,0.0,634.0,14.0,16.0,14.0,6.0,9.0,0.0,1.0,1.0,,,,,,,,,,,
2016-17,855506,34,2017-04-22 15:00:00,57,Watford,Away,278.0,18.0,4.0,6.0,2.0,6.0,,215.0,3.0,,5.0,2.0,13.0,26.0,487.0,,,20.0,16.0,14.0,5.0,5.0,,,,,,,,,,6.0,,,,,,2.0,2.0,3.0,5.0,7.0,7.0,92.0,68.0,2.0,2.0,,2.0,12.0,6.0,7.0,,,7.0,10.0,6.0,,13.0,,47.0,44.0,2.0,12.0,7.0,,,69.0,11.0,8.0,,,3.0,1.0,,164.0,,,,,,4.0,,1.0,4.0,7.0,,6.0,6.0,,5.0,150.0,72.0,47.0,4.0,,4.0,6.0,2.0,553.0,2.0,1.0,,76.0,67.0,41.0,,,,,,141.0,141.0,7.0,25.0,30.0,65.8,,,,12.0,0.0,167.0,,1.0,1.0,,1.0,,6.0,1.0,3.0,82.0,469.0,8.0,10.0,292.0,47.0,12.0,11.0,7.0,24.0,17.0,,137.0,12.0,305.0,1.0,,12.0,13.0,56.0,2.0,573.0,2.0,0.0,14.0,15.0,,23.0,1.0,749.0,19.0,14.0,7.0,7.0,9.0,0.0,5.0,,,,,,,,,,,,
2016-17,855520,35,2017-05-01 20:00:00,57,Watford,Home,157.0,22.0,,2.0,2.0,1.0,,101.0,3.0,1.0,5.0,11.0,7.0,37.0,256.0,,,9.0,27.0,19.0,5.0,,1.0,,,,,,,,,7.0,,,1.0,,,,7.0,5.0,7.0,2.0,7.0,47.0,66.0,,,,2.0,21.0,3.0,15.0,,1.0,3.0,7.0,4.0,,6.0,5.0,65.0,55.0,2.0,30.0,10.0,,,71.0,11.0,7.0,,,2.0,,,156.0,,,,,,7.0,,1.0,,10.0,1.0,14.0,14.0,,6.0,76.0,73.0,36.0,5.0,,2.0,3.0,2.0,339.0,2.0,2.0,,43.0,34.0,22.0,,,,,,157.0,157.0,,40.0,16.0,40.0,1.0,,2.0,21.0,0.0,78.0,4.0,3.0,7.0,,,1.0,4.0,,3.0,50.0,245.0,13.0,5.0,189.0,44.0,30.0,15.0,3.0,14.0,11.0,1.0,102.0,7.0,182.0,1.0,1.0,34.0,8.0,81.0,6.0,357.0,,0.0,9.0,20.0,,19.0,3.0,556.0,12.0,13.0,9.0,3.0,16.0,0.0,2.0,,,,,,,,,,,,
2016-17,855527,36,2017-05-06 15:00:00,57,Watford,Away,187.0,13.0,1.0,5.0,4.0,2.0,,222.0,4.0,,1.0,10.0,14.0,39.0,404.0,1.0,,16.0,24.0,22.0,11.0,1.0,,,,,,,,,,12.0,,,,,,1.0,6.0,6.0,5.0,8.0,6.0,87.0,65.0,,,,,16.0,2.0,5.0,,,1.0,14.0,8.0,,11.0,3.0,62.0,53.0,,45.0,28.0,2.0,,59.0,10.0,8.0,,,,,,161.0,,,,,,7.0,,2.0,,28.0,,14.0,14.0,,1.0,120.0,76.0,51.0,10.0,,5.0,7.0,7.0,459.0,3.0,3.0,,52.0,78.0,32.0,,,,,,149.0,149.0,,26.0,33.0,58.1,,,1.0,16.0,0.0,119.0,1.0,1.0,3.0,,,,5.0,,3.0,90.0,383.0,7.0,12.0,211.0,27.0,45.0,25.0,1.0,23.0,22.0,,122.0,5.0,299.0,2.0,,32.0,16.0,70.0,4.0,487.0,1.0,0.0,14.0,12.0,,23.0,0.0,709.0,27.0,10.0,12.0,1.0,8.0,0.0,1.0,,,,,,,,,,,,
