season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,goalAssist,goals,minutesPlayed,ownGoals,totalShots
2009-10,1062697,24,54,Fulham,Home,932,9493.0,Stephen Kelly,stephen-kelly,D,False,0.0,0.0,74.0,0.0,0.0
2009-10,1062697,24,54,Fulham,Home,1020,1863.0,Jonathan Greening,jonathan-greening,M,True,,,,,
2009-10,1062697,24,54,Fulham,Home,1027,18430.0,Zoltán Gera,zoltan-gera,M,True,0.0,0.0,66.0,0.0,0.0
2009-10,1062697,24,54,Fulham,Home,1147,2559.0,Simon Davies,simon-davies,,False,0.0,0.0,24.0,0.0,0.0
2009-10,1062697,24,54,Fulham,Home,1298,1812.0,Danny Murphy,daniel-benjamin-murphy,M,False,0.0,0.0,90.0,0.0,0.0
2009-10,1062697,24,54,Fulham,Home,2180,1836.0,Erik Nevland,erik-nevland,F,False,0.0,0.0,65.0,0.0,0.0
2009-10,1062697,24,54,Fulham,Home,6381,15284.0,Brede Hangeland,brede-hangeland,D,False,0.0,0.0,90.0,0.0,0.0
2009-10,1062697,24,54,Fulham,Home,7550,52050.0,David Elm,david-elm,F,True,0.0,0.0,25.0,0.0,0.0
2009-10,1062697,24,54,Fulham,Home,7690,47485.0,Fredrik Stoor,fredrik-stoor,D,True,,,,,
2009-10,1062697,24,54,Fulham,Home,9746,4570.0,Bobby Zamora,bobby-zamora,F,False,0.0,0.0,90.0,0.0,0.0
2009-10,1062697,24,54,Fulham,Home,18514,37417.0,Bjorn Helge Riise,bjorn-helge-riise,M,True,0.0,0.0,16.0,0.0,0.0
2009-10,1062697,24,54,Fulham,Home,32832,46967.0,Kagisho Dikgacoi,kagisho-dikgacoi,M,True,,,,,
2009-10,1062697,24,54,Fulham,Home,47741,55909.0,Chris Smalling,chris-smalling,D,False,0.0,0.0,90.0,0.0,0.0
2009-10,1062697,24,54,Fulham,Home,1422129,1256.0,Damien Duff,damien-duff,M,False,0.0,0.0,90.0,0.0,0.0
2009-10,1062697,24,54,Fulham,Home,1422649,14471.0,Pascal Zuberbühler,pascal-zuberbuhler,G,True,,,,,
2009-10,1062705,25,54,Fulham,Away,563,1869.0,Aaron Hughes,aaron-hughes,D,False,0.0,0.0,90.0,0.0,0.0
2009-10,1062705,25,54,Fulham,Away,803,1827.0,Mark Schwarzer,mark-schwarzer,G,False,0.0,0.0,90.0,0.0,0.0
2009-10,1062705,25,54,Fulham,Away,889,15968.0,Chris Baird,chris-baird,D,False,0.0,0.0,90.0,0.0,0.0
2009-10,1062705,25,54,Fulham,Away,932,9493.0,Stephen Kelly,stephen-kelly,D,True,,,,,
2009-10,1062705,25,54,Fulham,Away,1020,1863.0,Jonathan Greening,jonathan-greening,M,False,0.0,0.0,90.0,0.0,0.0
2009-10,1062705,25,54,Fulham,Away,1298,1812.0,Danny Murphy,daniel-benjamin-murphy,M,False,0.0,0.0,90.0,0.0,0.0
2009-10,1062705,25,54,Fulham,Away,2180,1836.0,Erik Nevland,erik-nevland,F,False,0.0,0.0,76.0,0.0,0.0
2009-10,1062705,25,54,Fulham,Away,6381,15284.0,Brede Hangeland,brede-hangeland,D,False,0.0,0.0,90.0,0.0,0.0
2009-10,1062705,25,54,Fulham,Away,7550,52050.0,David Elm,david-elm,F,False,0.0,0.0,76.0,0.0,0.0
2009-10,1062705,25,54,Fulham,Away,7690,47485.0,Fredrik Stoor,fredrik-stoor,D,True,,,,,
2009-10,1062705,25,54,Fulham,Away,10467,5750.0,Nicky Shorey,nicky-shorey,D,False,0.0,0.0,90.0,0.0,0.0
2009-10,1062705,25,54,Fulham,Away,13148,20046.0,Stefano Okaka,stefano-okaka,F,True,0.0,0.0,14.0,0.0,0.0
2009-10,1062705,25,54,Fulham,Away,14112,10454.0,Dickson Etuhu,dickson-etuhu,M,True,0.0,0.0,35.0,0.0,0.0
2009-10,1062705,25,54,Fulham,Away,18514,37417.0,Bjorn Helge Riise,bjorn-helge-riise,M,True,,,,,
2009-10,1062705,25,54,Fulham,Away,32832,46967.0,Kagisho Dikgacoi,kagisho-dikgacoi,M,False,0.0,0.0,55.0,0.0,0.0
2009-10,1062705,25,54,Fulham,Away,47741,55909.0,Chris Smalling,chris-smalling,D,True,0.0,0.0,14.0,0.0,0.0
2009-10,1062705,25,54,Fulham,Away,1422129,1256.0,Damien Duff,damien-duff,M,False,0.0,0.0,90.0,0.0,0.0
2009-10,1062705,25,54,Fulham,Away,1422649,14471.0,Pascal Zuberbühler,pascal-zuberbuhler,G,True,,,,,
2009-10,1062715,26,54,Fulham,Home,563,1869.0,Aaron Hughes,aaron-hughes,D,False,0.0,0.0,90.0,0.0,0.0
2009-10,1062715,26,54,Fulham,Home,803,1827.0,Mark Schwarzer,mark-schwarzer,G,False,0.0,0.0,90.0,0.0,0.0
2009-10,1062715,26,54,Fulham,Home,889,15968.0,Chris Baird,chris-baird,D,False,0.0,0.0,90.0,0.0,0.0
2009-10,1062715,26,54,Fulham,Home,932,9493.0,Stephen Kelly,stephen-kelly,D,True,,,,,
2009-10,1062715,26,54,Fulham,Home,1020,1863.0,Jonathan Greening,jonathan-greening,M,True,0.0,0.0,29.0,0.0,0.0
2009-10,1062715,26,54,Fulham,Home,1147,2559.0,Simon Davies,simon-davies,,False,0.0,0.0,61.0,0.0,0.0
2009-10,1062715,26,54,Fulham,Home,1298,1812.0,Danny Murphy,daniel-benjamin-murphy,M,False,0.0,1.0,90.0,0.0,0.0
2009-10,1062715,26,54,Fulham,Home,2180,1836.0,Erik Nevland,erik-nevland,F,True,,,,,
2009-10,1062715,26,54,Fulham,Home,6381,15284.0,Brede Hangeland,brede-hangeland,D,False,0.0,0.0,90.0,0.0,0.0
2009-10,1062715,26,54,Fulham,Home,7550,52050.0,David Elm,david-elm,F,False,1.0,1.0,90.0,0.0,0.0
2009-10,1062715,26,54,Fulham,Home,9746,4570.0,Bobby Zamora,bobby-zamora,F,False,1.0,1.0,70.0,0.0,0.0
2009-10,1062715,26,54,Fulham,Home,10467,5750.0,Nicky Shorey,nicky-shorey,D,False,0.0,0.0,90.0,0.0,0.0
2009-10,1062715,26,54,Fulham,Home,13148,20046.0,Stefano Okaka,stefano-okaka,F,True,0.0,0.0,20.0,0.0,0.0
2009-10,1062715,26,54,Fulham,Home,14112,10454.0,Dickson Etuhu,dickson-etuhu,M,False,0.0,0.0,90.0,0.0,0.0
2009-10,1062715,26,54,Fulham,Home,18514,37417.0,Bjorn Helge Riise,bjorn-helge-riise,M,True,0.0,0.0,14.0,0.0,0.0
2009-10,1062715,26,54,Fulham,Home,47741,55909.0,Chris Smalling,chris-smalling,D,True,,,,,
2009-10,1062715,26,54,Fulham,Home,1422129,1256.0,Damien Duff,damien-duff,M,False,0.0,0.0,76.0,0.0,0.0
2009-10,1062715,26,54,Fulham,Home,1422649,14471.0,Pascal Zuberbühler,pascal-zuberbuhler,G,True,,,,,
2009-10,1062728,27,54,Fulham,Home,563,1869.0,Aaron Hughes,aaron-hughes,D,False,0.0,0.0,90.0,0.0,0.0
2009-10,1062728,27,54,Fulham,Home,803,1827.0,Mark Schwarzer,mark-schwarzer,G,False,0.0,0.0,90.0,0.0,0.0
2009-10,1062728,27,54,Fulham,Home,889,15968.0,Chris Baird,chris-baird,D,False,0.0,0.0,90.0,1.0,0.0
2009-10,1062728,27,54,Fulham,Home,932,9493.0,Stephen Kelly,stephen-kelly,D,True,,,,,
2009-10,1062728,27,54,Fulham,Home,1020,1863.0,Jonathan Greening,jonathan-greening,M,True,,,,,
2009-10,1062728,27,54,Fulham,Home,1027,18430.0,Zoltán Gera,zoltan-gera,M,False,1.0,0.0,90.0,0.0,0.0
2009-10,1062728,27,54,Fulham,Home,1147,2559.0,Simon Davies,simon-davies,,False,0.0,0.0,83.0,0.0,0.0
2009-10,1062728,27,54,Fulham,Home,1298,1812.0,Danny Murphy,daniel-benjamin-murphy,M,False,0.0,0.0,90.0,0.0,0.0
2009-10,1062728,27,54,Fulham,Home,6381,15284.0,Brede Hangeland,brede-hangeland,D,False,0.0,0.0,90.0,0.0,0.0
2009-10,1062728,27,54,Fulham,Home,7550,52050.0,David Elm,david-elm,F,True,,,,,
2009-10,1062728,27,54,Fulham,Home,9746,4570.0,Bobby Zamora,bobby-zamora,F,False,0.0,1.0,90.0,0.0,0.0
2009-10,1062728,27,54,Fulham,Home,10467,5750.0,Nicky Shorey,nicky-shorey,D,False,0.0,0.0,90.0,0.0,0.0
2009-10,1062728,27,54,Fulham,Home,13148,20046.0,Stefano Okaka,stefano-okaka,F,True,,,,,
2009-10,1062728,27,54,Fulham,Home,14112,10454.0,Dickson Etuhu,dickson-etuhu,M,False,0.0,0.0,90.0,0.0,0.0
2009-10,1062728,27,54,Fulham,Home,18514,37417.0,Bjorn Helge Riise,bjorn-helge-riise,M,True,0.0,0.0,7.0,0.0,0.0
2009-10,1062728,27,54,Fulham,Home,47741,55909.0,Chris Smalling,chris-smalling,D,True,0.0,0.0,1.0,0.0,0.0
2009-10,1062728,27,54,Fulham,Home,1422129,1256.0,Damien Duff,damien-duff,M,False,0.0,1.0,90.0,0.0,0.0
2009-10,1062728,27,54,Fulham,Home,1422649,14471.0,Pascal Zuberbühler,pascal-zuberbuhler,G,True,,,,,
2009-10,1062742,28,54,Fulham,Away,563,1869.0,Aaron Hughes,aaron-hughes,D,False,0.0,0.0,90.0,0.0,0.0
2009-10,1062742,28,54,Fulham,Away,803,1827.0,Mark Schwarzer,mark-schwarzer,G,False,0.0,0.0,90.0,0.0,0.0
2009-10,1062742,28,54,Fulham,Away,889,15968.0,Chris Baird,chris-baird,D,False,0.0,0.0,90.0,0.0,0.0
2009-10,1062742,28,54,Fulham,Away,932,9493.0,Stephen Kelly,stephen-kelly,D,True,,,,,
2009-10,1062742,28,54,Fulham,Away,1020,1863.0,Jonathan Greening,jonathan-greening,M,True,0.0,0.0,33.0,0.0,0.0
2009-10,1062742,28,54,Fulham,Away,1027,18430.0,Zoltán Gera,zoltan-gera,M,False,0.0,0.0,90.0,0.0,0.0
2009-10,1062742,28,54,Fulham,Away,1147,2559.0,Simon Davies,simon-davies,,False,0.0,0.0,90.0,0.0,0.0
2009-10,1062742,28,54,Fulham,Away,1298,1812.0,Danny Murphy,daniel-benjamin-murphy,M,False,0.0,0.0,57.0,0.0,0.0
2009-10,1062742,28,54,Fulham,Away,6381,15284.0,Brede Hangeland,brede-hangeland,D,False,0.0,0.0,90.0,0.0,0.0
2009-10,1062742,28,54,Fulham,Away,7550,52050.0,David Elm,david-elm,F,True,0.0,0.0,7.0,0.0,0.0
2009-10,1062742,28,54,Fulham,Away,9746,4570.0,Bobby Zamora,bobby-zamora,F,False,0.0,0.0,83.0,0.0,0.0
2009-10,1062742,28,54,Fulham,Away,10467,5750.0,Nicky Shorey,nicky-shorey,D,False,0.0,0.0,90.0,0.0,0.0
2009-10,1062742,28,54,Fulham,Away,13148,20046.0,Stefano Okaka,stefano-okaka,F,True,,,,,
2009-10,1062742,28,54,Fulham,Away,14112,10454.0,Dickson Etuhu,dickson-etuhu,M,False,0.0,0.0,90.0,0.0,0.0
2009-10,1062742,28,54,Fulham,Away,18514,37417.0,Bjorn Helge Riise,bjorn-helge-riise,M,True,,,,,
2009-10,1062742,28,54,Fulham,Away,47741,55909.0,Chris Smalling,chris-smalling,D,True,,,,,
2009-10,1062742,28,54,Fulham,Away,1422129,1256.0,Damien Duff,damien-duff,M,False,0.0,0.0,90.0,0.0,0.0
2009-10,1062742,28,54,Fulham,Away,1422649,14471.0,Pascal Zuberbühler,pascal-zuberbuhler,G,True,,,,,
2009-10,1346005,29,54,Fulham,Home,563,1869.0,Aaron Hughes,aaron-hughes,D,False,0.0,0.0,90.0,0.0,0.0
2009-10,1346005,29,54,Fulham,Home,803,1827.0,Mark Schwarzer,mark-schwarzer,G,False,0.0,0.0,90.0,0.0,0.0
2009-10,1346005,29,54,Fulham,Home,889,15968.0,Chris Baird,chris-baird,D,True,,,,,
2009-10,1346005,29,54,Fulham,Home,1027,18430.0,Zoltán Gera,zoltan-gera,M,False,0.0,0.0,90.0,0.0,0.0
2009-10,1346005,29,54,Fulham,Home,1147,2559.0,Simon Davies,simon-davies,,False,0.0,0.0,90.0,0.0,0.0
2009-10,1346005,29,54,Fulham,Home,1281,1413.0,Paul Konchesky,paul-konchesky,D,False,0.0,0.0,90.0,0.0,0.0
2009-10,1346005,29,54,Fulham,Home,1298,1812.0,Danny Murphy,daniel-benjamin-murphy,M,False,0.0,0.0,90.0,0.0,0.0
2009-10,1346005,29,54,Fulham,Home,2180,1836.0,Erik Nevland,erik-nevland,F,True,0.0,0.0,44.0,0.0,0.0
2009-10,1346005,29,54,Fulham,Home,6381,15284.0,Brede Hangeland,brede-hangeland,D,False,0.0,0.0,90.0,0.0,0.0
2009-10,1346005,29,54,Fulham,Home,12743,20226.0,Clint Dempsey,clint-dempsey,M,False,0.0,0.0,90.0,0.0,0.0
2009-10,1346005,29,54,Fulham,Home,13148,20046.0,Stefano Okaka,stefano-okaka,F,True,0.0,0.0,5.0,0.0,0.0
2009-10,1346005,29,54,Fulham,Home,14112,10454.0,Dickson Etuhu,dickson-etuhu,M,False,0.0,0.0,90.0,0.0,0.0
2009-10,1346005,29,54,Fulham,Home,14650,,John Paintsil,john-paintsil,D,False,0.0,0.0,85.0,0.0,0.0
2009-10,1346005,29,54,Fulham,Home,18514,37417.0,Bjorn Helge Riise,bjorn-helge-riise,M,True,,,,,
2009-10,1346005,29,54,Fulham,Home,32832,46967.0,Kagisho Dikgacoi,kagisho-dikgacoi,M,True,,,,,
2009-10,1346005,29,54,Fulham,Home,47741,55909.0,Chris Smalling,chris-smalling,D,True,,,,,
2009-10,1346005,29,54,Fulham,Home,1422129,1256.0,Damien Duff,damien-duff,M,False,0.0,0.0,46.0,0.0,0.0
2009-10,1346005,29,54,Fulham,Home,1422649,14471.0,Pascal Zuberbühler,pascal-zuberbuhler,G,True,,,,,
2009-10,1062760,30,54,Fulham,Away,563,1869.0,Aaron Hughes,aaron-hughes,D,False,0.0,0.0,90.0,0.0,0.0
2009-10,1062760,30,54,Fulham,Away,803,1827.0,Mark Schwarzer,mark-schwarzer,G,False,0.0,0.0,90.0,0.0,0.0
2009-10,1062760,30,54,Fulham,Away,889,15968.0,Chris Baird,chris-baird,D,False,0.0,0.0,90.0,0.0,0.0
2009-10,1062760,30,54,Fulham,Away,932,9493.0,Stephen Kelly,stephen-kelly,D,False,0.0,0.0,90.0,0.0,0.0
2009-10,1062760,30,54,Fulham,Away,1020,1863.0,Jonathan Greening,jonathan-greening,M,True,0.0,0.0,29.0,0.0,0.0
2009-10,1062760,30,54,Fulham,Away,1027,18430.0,Zoltán Gera,zoltan-gera,M,False,0.0,0.0,90.0,0.0,0.0
2009-10,1062760,30,54,Fulham,Away,1147,2559.0,Simon Davies,simon-davies,,False,0.0,0.0,45.0,0.0,0.0
2009-10,1062760,30,54,Fulham,Away,1298,1812.0,Danny Murphy,daniel-benjamin-murphy,M,False,0.0,0.0,90.0,0.0,0.0
2009-10,1062760,30,54,Fulham,Away,2180,1836.0,Erik Nevland,erik-nevland,F,True,0.0,0.0,19.0,0.0,0.0
2009-10,1062760,30,54,Fulham,Away,6381,15284.0,Brede Hangeland,brede-hangeland,D,False,0.0,0.0,61.0,0.0,0.0
2009-10,1062760,30,54,Fulham,Away,7690,47485.0,Fredrik Stoor,fredrik-stoor,D,True,,,,,
2009-10,1062760,30,54,Fulham,Away,9746,4570.0,Bobby Zamora,bobby-zamora,F,False,0.0,0.0,90.0,0.0,0.0
2009-10,1062760,30,54,Fulham,Away,10467,5750.0,Nicky Shorey,nicky-shorey,D,False,0.0,0.0,90.0,0.0,0.0
2009-10,1062760,30,54,Fulham,Away,12743,20226.0,Clint Dempsey,clint-dempsey,M,False,0.0,0.0,71.0,0.0,0.0
2009-10,1062760,30,54,Fulham,Away,13148,20046.0,Stefano Okaka,stefano-okaka,F,True,,,,,
2009-10,1062760,30,54,Fulham,Away,32832,46967.0,Kagisho Dikgacoi,kagisho-dikgacoi,M,True,,,,,
2009-10,1062760,30,54,Fulham,Away,1422129,1256.0,Damien Duff,damien-duff,M,True,0.0,0.0,45.0,0.0,0.0
2009-10,1062760,30,54,Fulham,Away,1422649,14471.0,Pascal Zuberbühler,pascal-zuberbuhler,G,True,,,,,
2009-10,1062768,31,54,Fulham,Home,563,1869.0,Aaron Hughes,aaron-hughes,D,False,0.0,0.0,90.0,0.0,0.0
2009-10,1062768,31,54,Fulham,Home,803,1827.0,Mark Schwarzer,mark-schwarzer,G,False,0.0,0.0,90.0,0.0,0.0
2009-10,1062768,31,54,Fulham,Home,889,15968.0,Chris Baird,chris-baird,D,False,0.0,0.0,79.0,0.0,0.0
2009-10,1062768,31,54,Fulham,Home,932,9493.0,Stephen Kelly,stephen-kelly,D,True,,,,,
2009-10,1062768,31,54,Fulham,Home,1020,1863.0,Jonathan Greening,jonathan-greening,M,True,,,,,
2009-10,1062768,31,54,Fulham,Home,1027,18430.0,Zoltán Gera,zoltan-gera,M,False,0.0,0.0,54.0,0.0,0.0
2009-10,1062768,31,54,Fulham,Home,1147,2559.0,Simon Davies,simon-davies,,False,0.0,0.0,90.0,0.0,0.0
2009-10,1062768,31,54,Fulham,Home,1281,1413.0,Paul Konchesky,paul-konchesky,D,False,0.0,0.0,90.0,0.0,0.0
2009-10,1062768,31,54,Fulham,Home,1298,1812.0,Danny Murphy,daniel-benjamin-murphy,M,False,0.0,1.0,90.0,0.0,0.0
2009-10,1062768,31,54,Fulham,Home,9746,4570.0,Bobby Zamora,bobby-zamora,F,False,0.0,0.0,51.0,0.0,0.0
2009-10,1062768,31,54,Fulham,Home,10467,5750.0,Nicky Shorey,nicky-shorey,D,True,,,,,
2009-10,1062768,31,54,Fulham,Home,12743,20226.0,Clint Dempsey,clint-dempsey,M,True,0.0,0.0,39.0,0.0,0.0
2009-10,1062768,31,54,Fulham,Home,13148,20046.0,Stefano Okaka,stefano-okaka,F,True,0.0,0.0,36.0,0.0,0.0
2009-10,1062768,31,54,Fulham,Home,14112,10454.0,Dickson Etuhu,dickson-etuhu,M,False,0.0,0.0,90.0,0.0,0.0
2009-10,1062768,31,54,Fulham,Home,18514,37417.0,Bjorn Helge Riise,bjorn-helge-riise,M,True,0.0,0.0,11.0,0.0,0.0
2009-10,1062768,31,54,Fulham,Home,47741,55909.0,Chris Smalling,chris-smalling,D,False,0.0,0.0,90.0,0.0,0.0
2009-10,1062768,31,54,Fulham,Home,1422129,1256.0,Damien Duff,damien-duff,M,False,0.0,0.0,90.0,0.0,0.0
2009-10,1062768,31,54,Fulham,Home,1422649,14471.0,Pascal Zuberbühler,pascal-zuberbuhler,G,True,,,,,
2009-10,1062778,32,54,Fulham,Away,563,1869.0,Aaron Hughes,aaron-hughes,D,True,,,,,
2009-10,1062778,32,54,Fulham,Away,803,1827.0,Mark Schwarzer,mark-schwarzer,G,False,0.0,0.0,90.0,0.0,0.0
2009-10,1062778,32,54,Fulham,Away,889,15968.0,Chris Baird,chris-baird,D,False,0.0,0.0,90.0,0.0,0.0
2009-10,1062778,32,54,Fulham,Away,1020,1863.0,Jonathan Greening,jonathan-greening,M,True,0.0,0.0,32.0,0.0,0.0
2009-10,1062778,32,54,Fulham,Away,1027,18430.0,Zoltán Gera,zoltan-gera,M,False,0.0,0.0,90.0,0.0,0.0
2009-10,1062778,32,54,Fulham,Away,1147,2559.0,Simon Davies,simon-davies,,False,0.0,0.0,90.0,0.0,0.0
2009-10,1062778,32,54,Fulham,Away,1281,1413.0,Paul Konchesky,paul-konchesky,D,False,0.0,0.0,90.0,0.0,0.0
2009-10,1062778,32,54,Fulham,Away,2180,1836.0,Erik Nevland,erik-nevland,F,True,,,,,
2009-10,1062778,32,54,Fulham,Away,6381,15284.0,Brede Hangeland,brede-hangeland,D,False,0.0,0.0,90.0,0.0,0.0
2009-10,1062778,32,54,Fulham,Away,7690,47485.0,Fredrik Stoor,fredrik-stoor,D,True,,,,,
2009-10,1062778,32,54,Fulham,Away,10467,5750.0,Nicky Shorey,nicky-shorey,D,False,0.0,0.0,90.0,0.0,0.0
2009-10,1062778,32,54,Fulham,Away,12743,20226.0,Clint Dempsey,clint-dempsey,M,False,0.0,0.0,90.0,0.0,0.0
2009-10,1062778,32,54,Fulham,Away,13148,20046.0,Stefano Okaka,stefano-okaka,F,True,0.0,0.0,38.0,0.0,0.0
2009-10,1062778,32,54,Fulham,Away,14112,10454.0,Dickson Etuhu,dickson-etuhu,M,True,,,,,
2009-10,1062778,32,54,Fulham,Away,18514,37417.0,Bjorn Helge Riise,bjorn-helge-riise,M,False,0.0,0.0,52.0,0.0,0.0
2009-10,1062778,32,54,Fulham,Away,32832,46967.0,Kagisho Dikgacoi,kagisho-dikgacoi,M,False,0.0,0.0,58.0,0.0,0.0
2009-10,1062778,32,54,Fulham,Away,47741,55909.0,Chris Smalling,chris-smalling,D,False,0.0,0.0,90.0,0.0,0.0
2009-10,1062778,32,54,Fulham,Away,1422649,14471.0,Pascal Zuberbühler,pascal-zuberbuhler,G,True,,,,,
2009-10,1062789,33,54,Fulham,Home,563,1869.0,Aaron Hughes,aaron-hughes,D,False,0.0,0.0,90.0,0.0,0.0
2009-10,1062789,33,54,Fulham,Home,803,1827.0,Mark Schwarzer,mark-schwarzer,G,False,0.0,0.0,90.0,0.0,0.0
2009-10,1062789,33,54,Fulham,Home,889,15968.0,Chris Baird,chris-baird,D,True,0.0,0.0,3.0,0.0,0.0
2009-10,1062789,33,54,Fulham,Home,1020,1863.0,Jonathan Greening,jonathan-greening,M,True,,,,,
2009-10,1062789,33,54,Fulham,Home,1027,18430.0,Zoltán Gera,zoltan-gera,M,False,1.0,0.0,90.0,0.0,0.0
2009-10,1062789,33,54,Fulham,Home,1147,2559.0,Simon Davies,simon-davies,,False,0.0,0.0,90.0,0.0,0.0
2009-10,1062789,33,54,Fulham,Home,1281,1413.0,Paul Konchesky,paul-konchesky,D,False,0.0,0.0,90.0,0.0,0.0
2009-10,1062789,33,54,Fulham,Home,1298,1812.0,Danny Murphy,daniel-benjamin-murphy,M,False,0.0,0.0,87.0,0.0,0.0
2009-10,1062789,33,54,Fulham,Home,2180,1836.0,Erik Nevland,erik-nevland,F,True,0.0,0.0,3.0,0.0,0.0
2009-10,1062789,33,54,Fulham,Home,6381,15284.0,Brede Hangeland,brede-hangeland,D,False,0.0,1.0,90.0,0.0,0.0
2009-10,1062789,33,54,Fulham,Home,7550,52050.0,David Elm,david-elm,F,False,0.0,0.0,46.0,0.0,0.0
2009-10,1062789,33,54,Fulham,Home,10467,5750.0,Nicky Shorey,nicky-shorey,D,True,,,,,
2009-10,1062789,33,54,Fulham,Home,12743,20226.0,Clint Dempsey,clint-dempsey,M,False,0.0,0.0,90.0,0.0,0.0
2009-10,1062789,33,54,Fulham,Home,13148,20046.0,Stefano Okaka,stefano-okaka,F,True,0.0,1.0,41.0,0.0,0.0
2009-10,1062789,33,54,Fulham,Home,14112,10454.0,Dickson Etuhu,dickson-etuhu,M,False,0.0,0.0,90.0,0.0,0.0
2009-10,1062789,33,54,Fulham,Home,47741,55909.0,Chris Smalling,chris-smalling,D,True,,,,,
2009-10,1062789,33,54,Fulham,Home,1422129,1256.0,Damien Duff,damien-duff,M,False,1.0,0.0,90.0,0.0,0.0
2009-10,1062789,33,54,Fulham,Home,1422649,14471.0,Pascal Zuberbühler,pascal-zuberbuhler,G,True,,,,,
2009-10,1062798,34,54,Fulham,Away,563,1869.0,Aaron Hughes,aaron-hughes,D,False,0.0,0.0,90.0,0.0,0.0
2009-10,1062798,34,54,Fulham,Away,803,1827.0,Mark Schwarzer,mark-schwarzer,G,False,0.0,0.0,90.0,0.0,0.0
2009-10,1062798,34,54,Fulham,Away,889,15968.0,Chris Baird,chris-baird,D,False,0.0,0.0,90.0,0.0,0.0
2009-10,1062798,34,54,Fulham,Away,932,9493.0,Stephen Kelly,stephen-kelly,D,True,,,,,
2009-10,1062798,34,54,Fulham,Away,1020,1863.0,Jonathan Greening,jonathan-greening,M,False,0.0,0.0,81.0,0.0,0.0
2009-10,1062798,34,54,Fulham,Away,1281,1413.0,Paul Konchesky,paul-konchesky,D,False,0.0,0.0,90.0,0.0,0.0
2009-10,1062798,34,54,Fulham,Away,1298,1812.0,Danny Murphy,daniel-benjamin-murphy,M,False,0.0,0.0,74.0,0.0,0.0
2009-10,1062798,34,54,Fulham,Away,2180,1836.0,Erik Nevland,erik-nevland,F,False,0.0,0.0,90.0,0.0,0.0
2009-10,1062798,34,54,Fulham,Away,6381,15284.0,Brede Hangeland,brede-hangeland,D,False,0.0,0.0,90.0,0.0,0.0
2009-10,1062798,34,54,Fulham,Away,9746,4570.0,Bobby Zamora,bobby-zamora,F,False,0.0,0.0,67.0,0.0,0.0
2009-10,1062798,34,54,Fulham,Away,10467,5750.0,Nicky Shorey,nicky-shorey,D,True,,,,,
2009-10,1062798,34,54,Fulham,Away,13148,20046.0,Stefano Okaka,stefano-okaka,F,True,0.0,0.0,23.0,0.0,0.0
2009-10,1062798,34,54,Fulham,Away,14112,10454.0,Dickson Etuhu,dickson-etuhu,M,False,0.0,0.0,90.0,0.0,0.0
2009-10,1062798,34,54,Fulham,Away,18514,37417.0,Bjorn Helge Riise,bjorn-helge-riise,M,True,0.0,0.0,9.0,0.0,0.0
2009-10,1062798,34,54,Fulham,Away,32832,46967.0,Kagisho Dikgacoi,kagisho-dikgacoi,M,True,0.0,0.0,16.0,0.0,0.0
2009-10,1062798,34,54,Fulham,Away,47741,55909.0,Chris Smalling,chris-smalling,D,True,,,,,
2009-10,1062798,34,54,Fulham,Away,1422129,1256.0,Damien Duff,damien-duff,M,False,0.0,0.0,90.0,0.0,0.0
2009-10,1062798,34,54,Fulham,Away,1422649,14471.0,Pascal Zuberbühler,pascal-zuberbuhler,G,True,,,,,
2009-10,1062806,35,54,Fulham,Home,563,1869.0,Aaron Hughes,aaron-hughes,D,False,0.0,0.0,90.0,0.0,0.0
2009-10,1062806,35,54,Fulham,Home,803,1827.0,Mark Schwarzer,mark-schwarzer,G,False,0.0,0.0,90.0,0.0,0.0
2009-10,1062806,35,54,Fulham,Home,889,15968.0,Chris Baird,chris-baird,D,False,0.0,0.0,90.0,0.0,0.0
2009-10,1062806,35,54,Fulham,Home,1020,1863.0,Jonathan Greening,jonathan-greening,M,True,,,,,
2009-10,1062806,35,54,Fulham,Home,1027,18430.0,Zoltán Gera,zoltan-gera,M,False,0.0,0.0,90.0,0.0,0.0
2009-10,1062806,35,54,Fulham,Home,1147,2559.0,Simon Davies,simon-davies,,False,0.0,0.0,90.0,0.0,0.0
2009-10,1062806,35,54,Fulham,Home,1281,1413.0,Paul Konchesky,paul-konchesky,D,False,0.0,0.0,90.0,0.0,0.0
2009-10,1062806,35,54,Fulham,Home,1298,1812.0,Danny Murphy,daniel-benjamin-murphy,M,False,0.0,0.0,90.0,0.0,0.0
2009-10,1062806,35,54,Fulham,Home,2180,1836.0,Erik Nevland,erik-nevland,F,True,,,,,
2009-10,1062806,35,54,Fulham,Home,9746,4570.0,Bobby Zamora,bobby-zamora,F,False,0.0,0.0,90.0,0.0,0.0
2009-10,1062806,35,54,Fulham,Home,13148,20046.0,Stefano Okaka,stefano-okaka,F,True,,,,,
2009-10,1062806,35,54,Fulham,Home,14112,10454.0,Dickson Etuhu,dickson-etuhu,M,False,0.0,0.0,90.0,0.0,0.0
2009-10,1062806,35,54,Fulham,Home,14650,,John Paintsil,john-paintsil,D,True,,,,,
2009-10,1062806,35,54,Fulham,Home,18514,37417.0,Bjorn Helge Riise,bjorn-helge-riise,M,True,,,,,
2009-10,1062806,35,54,Fulham,Home,32832,46967.0,Kagisho Dikgacoi,kagisho-dikgacoi,M,True,,,,,
